https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ADA,Volume BTC,tradecount
1611187200000,2021-01-21 00:00:00,ADA/BTC,0.00001059,0.00001069,0.00001058,0.00001064,1365158.00000000,14.53312317,1128
1611183600000,2021-01-20 23:00:00,ADA/BTC,0.00001057,0.00001060,0.00001045,0.00001058,3655950.00000000,38.46954361,3302
1611180000000,2021-01-20 22:00:00,ADA/BTC,0.00001044,0.00001061,0.00001040,0.00001057,3112599.00000000,32.71883952,3409
1611176400000,2021-01-20 21:00:00,ADA/BTC,0.00001039,0.00001046,0.00001036,0.00001043,4163801.00000000,43.35477644,3326
1611172800000,2021-01-20 20:00:00,ADA/BTC,0.00001037,0.00001067,0.00001036,0.00001040,10176172.00000000,106.99707216,8745
1611169200000,2021-01-20 19:00:00,ADA/BTC,0.00001009,0.00001038,0.00001008,0.00001037,5875264.00000000,60.16298959,3976
1611165600000,2021-01-20 18:00:00,ADA/BTC,0.00001012,0.00001019,0.00001006,0.00001009,3073229.00000000,31.14305787,2632
1611162000000,2021-01-20 17:00:00,ADA/BTC,0.00001023,0.00001023,0.00001002,0.00001012,3269864.00000000,33.06504013,2789
1611158400000,2021-01-20 16:00:00,ADA/BTC,0.00001001,0.00001028,0.00000997,0.00001023,8388835.00000000,85.11521628,6074
1611154800000,2021-01-20 15:00:00,ADA/BTC,0.00000994,0.00001007,0.00000993,0.00001002,3608662.00000000,36.14906271,2452
1611151200000,2021-01-20 14:00:00,ADA/BTC,0.00001009,0.00001009,0.00000992,0.00000993,5413526.00000000,54.00020410,3492
1611147600000,2021-01-20 13:00:00,ADA/BTC,0.00000992,0.00001019,0.00000978,0.00001008,10687714.00000000,106.95573063,6717
1611144000000,2021-01-20 12:00:00,ADA/BTC,0.00000982,0.00000993,0.00000969,0.00000991,8983326.00000000,88.14641533,5687
1611140400000,2021-01-20 11:00:00,ADA/BTC,0.00001006,0.00001007,0.00000980,0.00000981,9622066.00000000,95.22519343,5639
1611136800000,2021-01-20 10:00:00,ADA/BTC,0.00001002,0.00001006,0.00000988,0.00001006,9012539.00000000,89.82787228,5325
1611133200000,2021-01-20 09:00:00,ADA/BTC,0.00001010,0.00001011,0.00000999,0.00001003,9019809.00000000,90.53520435,4716
1611129600000,2021-01-20 08:00:00,ADA/BTC,0.00001014,0.00001018,0.00001008,0.00001010,4344075.00000000,43.97415609,2409
1611126000000,2021-01-20 07:00:00,ADA/BTC,0.00001013,0.00001026,0.00001010,0.00001016,4609267.00000000,46.95088043,3095
1611122400000,2021-01-20 06:00:00,ADA/BTC,0.00001014,0.00001022,0.00001012,0.00001014,3379993.00000000,34.38650230,2460
1611118800000,2021-01-20 05:00:00,ADA/BTC,0.00001017,0.00001019,0.00001008,0.00001014,2755337.00000000,27.97206504,2156
1611115200000,2021-01-20 04:00:00,ADA/BTC,0.00001015,0.00001018,0.00001004,0.00001016,8753721.00000000,88.59571000,5383
1611111600000,2021-01-20 03:00:00,ADA/BTC,0.00001025,0.00001030,0.00001010,0.00001014,7288335.00000000,74.44036054,4419
1611108000000,2021-01-20 02:00:00,ADA/BTC,0.00001017,0.00001027,0.00001015,0.00001025,2598020.00000000,26.49750795,1638
1611104400000,2021-01-20 01:00:00,ADA/BTC,0.00001026,0.00001029,0.00001013,0.00001018,6738797.00000000,68.80245587,2791
1611100800000,2021-01-20 00:00:00,ADA/BTC,0.00001023,0.00001032,0.00001020,0.00001028,3855235.00000000,39.57350683,2535
1611097200000,2021-01-19 23:00:00,ADA/BTC,0.00001034,0.00001034,0.00001020,0.00001023,5643673.00000000,57.89323309,3111
1611093600000,2021-01-19 22:00:00,ADA/BTC,0.00001024,0.00001035,0.00001020,0.00001034,3139196.00000000,32.27123999,2596
1611090000000,2021-01-19 21:00:00,ADA/BTC,0.00001026,0.00001032,0.00001021,0.00001024,5937942.00000000,60.91119646,3771
1611086400000,2021-01-19 20:00:00,ADA/BTC,0.00001014,0.00001026,0.00001012,0.00001025,5434713.00000000,55.39056783,3457
1611082800000,2021-01-19 19:00:00,ADA/BTC,0.00001015,0.00001020,0.00001005,0.00001013,5828610.00000000,59.00069289,4338
1611079200000,2021-01-19 18:00:00,ADA/BTC,0.00001018,0.00001022,0.00001010,0.00001014,7047370.00000000,71.52109769,3355
1611075600000,2021-01-19 17:00:00,ADA/BTC,0.00001012,0.00001024,0.00001009,0.00001018,5936902.00000000,60.41222749,2914
1611072000000,2021-01-19 16:00:00,ADA/BTC,0.00000999,0.00001025,0.00000992,0.00001012,13927501.00000000,140.72576199,7690
1611068400000,2021-01-19 15:00:00,ADA/BTC,0.00001007,0.00001008,0.00000995,0.00000998,4093117.00000000,40.94253143,2303
1611064800000,2021-01-19 14:00:00,ADA/BTC,0.00001006,0.00001008,0.00000999,0.00001007,3244456.00000000,32.53749529,2181
1611061200000,2021-01-19 13:00:00,ADA/BTC,0.00001011,0.00001012,0.00001002,0.00001006,5901770.00000000,59.42707933,3061
1611057600000,2021-01-19 12:00:00,ADA/BTC,0.00001013,0.00001017,0.00001004,0.00001012,9718653.00000000,98.18033516,4635
1611054000000,2021-01-19 11:00:00,ADA/BTC,0.00001007,0.00001026,0.00001006,0.00001014,6652964.00000000,67.67578453,3935
1611050400000,2021-01-19 10:00:00,ADA/BTC,0.00001011,0.00001014,0.00001005,0.00001007,5581582.00000000,56.34036643,2886
1611046800000,2021-01-19 09:00:00,ADA/BTC,0.00001018,0.00001022,0.00001007,0.00001010,6954796.00000000,70.46655810,3775
1611043200000,2021-01-19 08:00:00,ADA/BTC,0.00000994,0.00001028,0.00000994,0.00001018,12563188.00000000,127.58183930,7039
1611039600000,2021-01-19 07:00:00,ADA/BTC,0.00001002,0.00001011,0.00000991,0.00000994,5163107.00000000,51.78941741,2991
1611036000000,2021-01-19 06:00:00,ADA/BTC,0.00001006,0.00001012,0.00000999,0.00001001,6600821.00000000,66.29622233,3123
1611032400000,2021-01-19 05:00:00,ADA/BTC,0.00001010,0.00001012,0.00001000,0.00001006,5264271.00000000,52.95080051,2894
1611028800000,2021-01-19 04:00:00,ADA/BTC,0.00000997,0.00001010,0.00000996,0.00001010,7615730.00000000,76.31059408,3193
1611025200000,2021-01-19 03:00:00,ADA/BTC,0.00000990,0.00001002,0.00000990,0.00000997,7505963.00000000,74.80750454,3411
1611021600000,2021-01-19 02:00:00,ADA/BTC,0.00001003,0.00001006,0.00000989,0.00000990,10174342.00000000,101.39662739,4271
1611018000000,2021-01-19 01:00:00,ADA/BTC,0.00001017,0.00001021,0.00000986,0.00001003,14529859.00000000,145.53889856,7139
1611014400000,2021-01-19 00:00:00,ADA/BTC,0.00001012,0.00001030,0.00001007,0.00001017,7881179.00000000,80.16763045,3633
1611010800000,2021-01-18 23:00:00,ADA/BTC,0.00001009,0.00001020,0.00001004,0.00001014,7783321.00000000,78.70950657,3051
