https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ADA,Volume USDT,tradecount
1611187200000,2021-01-21 00:00:00,ADA/USDT,0.37548000,0.37945000,0.37488000,0.37508000,4989297.00000000,1883468.15338900,2949
1611183600000,2021-01-20 23:00:00,ADA/USDT,0.36948000,0.37690000,0.36582000,0.37532000,19353029.40000000,7213552.57694300,10756
1611180000000,2021-01-20 22:00:00,ADA/USDT,0.36397000,0.37190000,0.36235000,0.36945000,15320395.70000000,5635058.16684400,8167
1611176400000,2021-01-20 21:00:00,ADA/USDT,0.36306000,0.36582000,0.35872000,0.36412000,20921611.30000000,7577035.75334900,9849
1611172800000,2021-01-20 20:00:00,ADA/USDT,0.36509000,0.37400000,0.36256000,0.36306000,40557251.40000000,14932939.80774600,20174
1611169200000,2021-01-20 19:00:00,ADA/USDT,0.35555000,0.36529000,0.35500000,0.36509000,21781139.00000000,7827736.83456100,12105
1611165600000,2021-01-20 18:00:00,ADA/USDT,0.35232000,0.35600000,0.35087000,0.35556000,15351043.60000000,5428162.51328300,8315
1611162000000,2021-01-20 17:00:00,ADA/USDT,0.35482000,0.35482000,0.34900000,0.35228000,21117909.30000000,7425517.22991300,9239
1611158400000,2021-01-20 16:00:00,ADA/USDT,0.34239000,0.35498000,0.33553000,0.35475000,51389767.40000000,17766200.72546100,20794
1611154800000,2021-01-20 15:00:00,ADA/USDT,0.34654000,0.35111000,0.34041000,0.34250000,20025668.30000000,6939980.32795800,8990
1611151200000,2021-01-20 14:00:00,ADA/USDT,0.35258000,0.35279000,0.34526000,0.34650000,24103847.20000000,8409717.70813500,28474
1611147600000,2021-01-20 13:00:00,ADA/USDT,0.34422000,0.35445000,0.33515000,0.35265000,49648543.50000000,17193745.29669900,23130
1611144000000,2021-01-20 12:00:00,ADA/USDT,0.33770000,0.34487000,0.33033000,0.34402000,44025128.90000000,14921825.12898400,25282
1611140400000,2021-01-20 11:00:00,ADA/USDT,0.34909000,0.35073000,0.33477000,0.33778000,47742396.60000000,16239238.02902200,19714
1611136800000,2021-01-20 10:00:00,ADA/USDT,0.34878000,0.35047000,0.34032000,0.34909000,44084813.30000000,15248573.66564700,19045
1611133200000,2021-01-20 09:00:00,ADA/USDT,0.35803000,0.35935000,0.34531000,0.34878000,34493190.80000000,12117298.09541000,16932
1611129600000,2021-01-20 08:00:00,ADA/USDT,0.36201000,0.36430000,0.35770000,0.35802000,14590396.10000000,5259280.33409600,8355
1611126000000,2021-01-20 07:00:00,ADA/USDT,0.35717000,0.36588000,0.35543000,0.36186000,21009043.70000000,7617570.74247700,10653
1611122400000,2021-01-20 06:00:00,ADA/USDT,0.35994000,0.36338000,0.35663000,0.35717000,15107095.80000000,5442915.78887100,8112
1611118800000,2021-01-20 05:00:00,ADA/USDT,0.35819000,0.36102000,0.35634000,0.35990000,12272498.10000000,4404370.36670800,7006
1611115200000,2021-01-20 04:00:00,ADA/USDT,0.35552000,0.35931000,0.34882000,0.35827000,33499222.50000000,11907227.87446900,20402
1611111600000,2021-01-20 03:00:00,ADA/USDT,0.36976000,0.37127000,0.35381000,0.35554000,33319857.30000000,12055698.15371600,18666
1611108000000,2021-01-20 02:00:00,ADA/USDT,0.36736000,0.37001000,0.36408000,0.36964000,19028430.10000000,6967207.24110200,8289
1611104400000,2021-01-20 01:00:00,ADA/USDT,0.37286000,0.37398000,0.36580000,0.36736000,15015159.00000000,5548496.83087400,7928
1611100800000,2021-01-20 00:00:00,ADA/USDT,0.36720000,0.37406000,0.36453000,0.37286000,22594076.20000000,8364692.82068000,16273
1611097200000,2021-01-19 23:00:00,ADA/USDT,0.37846000,0.37910000,0.36700000,0.36720000,18357096.60000000,6830015.67892200,23440
1611093600000,2021-01-19 22:00:00,ADA/USDT,0.37331000,0.37960000,0.37073000,0.37853000,12659040.50000000,4756903.90469500,10253
1611090000000,2021-01-19 21:00:00,ADA/USDT,0.37366000,0.37672000,0.37226000,0.37333000,13601682.20000000,5098034.24963200,10822
1611086400000,2021-01-19 20:00:00,ADA/USDT,0.36784000,0.37440000,0.36620000,0.37377000,18254427.60000000,6763124.78854000,10895
1611082800000,2021-01-19 19:00:00,ADA/USDT,0.37012000,0.37357000,0.36409000,0.36787000,30477676.60000000,11231969.68651700,16274
1611079200000,2021-01-19 18:00:00,ADA/USDT,0.37825000,0.37919000,0.36990000,0.37011000,22366358.80000000,8370072.64810700,14860
1611075600000,2021-01-19 17:00:00,ADA/USDT,0.37792000,0.38123000,0.37690000,0.37824000,19949803.90000000,7562555.25583200,11935
1611072000000,2021-01-19 16:00:00,ADA/USDT,0.37287000,0.39001000,0.37231000,0.37788000,61916548.60000000,23564369.95121100,26981
1611068400000,2021-01-19 15:00:00,ADA/USDT,0.37267000,0.37297000,0.36842000,0.37286000,15925414.20000000,5906233.66574800,10187
1611064800000,2021-01-19 14:00:00,ADA/USDT,0.37315000,0.37388000,0.37030000,0.37256000,14500967.70000000,5397304.78013300,9527
1611061200000,2021-01-19 13:00:00,ADA/USDT,0.37205000,0.37351000,0.37000000,0.37309000,28850431.00000000,10733041.86172200,14486
1611057600000,2021-01-19 12:00:00,ADA/USDT,0.37790000,0.37793000,0.37001000,0.37205000,28371371.20000000,10611767.93143400,16246
1611054000000,2021-01-19 11:00:00,ADA/USDT,0.37341000,0.37925000,0.37341000,0.37792000,23689002.30000000,8922411.97855000,13805
