https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume DASH,Volume BTC,tradecount
1611187200000,2021-01-21 00:00:00,DASH/BTC,0.00341700,0.00343500,0.00341700,0.00342400,55.45700000,0.18990021,44
1611183600000,2021-01-20 23:00:00,DASH/BTC,0.00343500,0.00344300,0.00339100,0.00341300,1012.40100000,3.45642108,416
1611180000000,2021-01-20 22:00:00,DASH/BTC,0.00344300,0.00345000,0.00341500,0.00343100,2056.49800000,7.04944186,530
1611176400000,2021-01-20 21:00:00,DASH/BTC,0.00343000,0.00344800,0.00341900,0.00344300,473.11500000,1.62350156,329
1611172800000,2021-01-20 20:00:00,DASH/BTC,0.00342100,0.00344600,0.00340800,0.00343000,2029.07900000,6.95621158,670
1611169200000,2021-01-20 19:00:00,DASH/BTC,0.00337100,0.00344700,0.00337100,0.00342600,2720.06500000,9.30098880,854
1611165600000,2021-01-20 18:00:00,DASH/BTC,0.00340800,0.00341600,0.00336500,0.00337200,1643.86400000,5.56863130,826
1611162000000,2021-01-20 17:00:00,DASH/BTC,0.00343200,0.00343200,0.00338600,0.00340600,1589.57200000,5.41418581,875
1611158400000,2021-01-20 16:00:00,DASH/BTC,0.00340200,0.00347400,0.00338700,0.00343200,5796.09500000,19.95724871,2076
1611154800000,2021-01-20 15:00:00,DASH/BTC,0.00336800,0.00343400,0.00336700,0.00340200,2144.49000000,7.30142705,1469
1611151200000,2021-01-20 14:00:00,DASH/BTC,0.00336500,0.00339000,0.00334000,0.00336900,2441.33500000,8.21671425,1305
1611147600000,2021-01-20 13:00:00,DASH/BTC,0.00335500,0.00337800,0.00331800,0.00336400,3702.47300000,12.39855398,1591
1611144000000,2021-01-20 12:00:00,DASH/BTC,0.00333400,0.00336900,0.00330900,0.00335500,3155.44700000,10.53663892,1457
1611140400000,2021-01-20 11:00:00,DASH/BTC,0.00335900,0.00336200,0.00328400,0.00332800,3619.52700000,12.05434211,1779
1611136800000,2021-01-20 10:00:00,DASH/BTC,0.00330800,0.00336400,0.00328100,0.00335400,5861.50100000,19.43722845,2669
1611133200000,2021-01-20 09:00:00,DASH/BTC,0.00332500,0.00334900,0.00328500,0.00330800,8886.10700000,29.47688926,3701
1611129600000,2021-01-20 08:00:00,DASH/BTC,0.00336300,0.00340500,0.00331200,0.00332400,8460.36500000,28.43857799,3274
1611126000000,2021-01-20 07:00:00,DASH/BTC,0.00345100,0.00346200,0.00335000,0.00335700,6256.90800000,21.23104446,2571
1611122400000,2021-01-20 06:00:00,DASH/BTC,0.00348500,0.00349100,0.00345100,0.00345300,717.60700000,2.49178038,486
1611118800000,2021-01-20 05:00:00,DASH/BTC,0.00346600,0.00348500,0.00344400,0.00348400,1183.11700000,4.09310629,560
1611115200000,2021-01-20 04:00:00,DASH/BTC,0.00345500,0.00346600,0.00340100,0.00346300,4784.39900000,16.40776106,2943
1611111600000,2021-01-20 03:00:00,DASH/BTC,0.00348300,0.00349600,0.00343000,0.00345900,1312.85300000,4.55059853,844
1611108000000,2021-01-20 02:00:00,DASH/BTC,0.00345100,0.00349600,0.00344300,0.00347900,440.40600000,1.52781731,418
1611104400000,2021-01-20 01:00:00,DASH/BTC,0.00349000,0.00349200,0.00343100,0.00345200,830.81400000,2.87017656,524
1611100800000,2021-01-20 00:00:00,DASH/BTC,0.00347100,0.00351100,0.00346100,0.00349500,900.84800000,3.13759612,685
1611097200000,2021-01-19 23:00:00,DASH/BTC,0.00348500,0.00348500,0.00343400,0.00346700,1745.00900000,6.04209066,888
1611093600000,2021-01-19 22:00:00,DASH/BTC,0.00348700,0.00350000,0.00346400,0.00348300,1568.54100000,5.46144030,605
1611090000000,2021-01-19 21:00:00,DASH/BTC,0.00347900,0.00350100,0.00344500,0.00348800,2005.09200000,6.98702830,827
1611086400000,2021-01-19 20:00:00,DASH/BTC,0.00345000,0.00348000,0.00341300,0.00347800,4237.36700000,14.59992975,1307
1611082800000,2021-01-19 19:00:00,DASH/BTC,0.00347100,0.00350100,0.00340100,0.00345000,2898.51100000,10.00498578,1443
1611079200000,2021-01-19 18:00:00,DASH/BTC,0.00352900,0.00354400,0.00346100,0.00346700,3051.94800000,10.68534167,1588
1611075600000,2021-01-19 17:00:00,DASH/BTC,0.00355200,0.00356100,0.00352700,0.00352700,811.48800000,2.87686974,611
1611072000000,2021-01-19 16:00:00,DASH/BTC,0.00352600,0.00355800,0.00349900,0.00355200,1829.79900000,6.46599166,886
1611068400000,2021-01-19 15:00:00,DASH/BTC,0.00355500,0.00357700,0.00351900,0.00352700,862.16000000,3.05342913,731
1611064800000,2021-01-19 14:00:00,DASH/BTC,0.00357500,0.00357600,0.00355400,0.00355700,668.78800000,2.38370980,458
1611061200000,2021-01-19 13:00:00,DASH/BTC,0.00360300,0.00361400,0.00356900,0.00357500,1155.38500000,4.14918716,602
1611057600000,2021-01-19 12:00:00,DASH/BTC,0.00355400,0.00363200,0.00352200,0.00360400,2623.72800000,9.39457208,1099
1611054000000,2021-01-19 11:00:00,DASH/BTC,0.00354800,0.00357900,0.00354400,0.00356100,1674.99300000,5.97656262,682
1611050400000,2021-01-19 10:00:00,DASH/BTC,0.00358000,0.00361600,0.00353500,0.00354800,1591.25500000,5.69453370,900
