https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume DASH,Volume USDT,tradecount
1611187200000,2021-01-21 00:00:00,DASH/USDT,121.21000000,121.99000000,121.02000000,121.05000000,1079.67689000,131391.98695410,213
1611183600000,2021-01-20 23:00:00,DASH/USDT,120.13000000,121.77000000,119.22000000,121.13000000,4419.10314000,533362.93412020,1612
1611180000000,2021-01-20 22:00:00,DASH/USDT,120.11000000,120.60000000,119.13000000,120.13000000,3907.88613000,468719.40579870,1274
1611176400000,2021-01-20 21:00:00,DASH/USDT,120.00000000,120.39000000,118.56000000,120.13000000,3673.94185000,438747.83352750,1514
1611172800000,2021-01-20 20:00:00,DASH/USDT,120.56000000,121.26000000,119.31000000,119.95000000,13737.99498000,1648452.68870930,2611
1611169200000,2021-01-20 19:00:00,DASH/USDT,118.84000000,120.64000000,118.64000000,120.50000000,5851.50199000,700897.49230360,2003
1611165600000,2021-01-20 18:00:00,DASH/USDT,118.75000000,119.04000000,117.82000000,118.83000000,7018.76416000,831209.04912770,1964
1611162000000,2021-01-20 17:00:00,DASH/USDT,119.09000000,119.32000000,117.34000000,118.74000000,16791.66788000,1986547.62223720,3058
1611158400000,2021-01-20 16:00:00,DASH/USDT,116.31000000,119.74000000,113.91000000,119.13000000,20410.66810000,2392477.37690220,6128
1611154800000,2021-01-20 15:00:00,DASH/USDT,117.47000000,118.94000000,115.92000000,116.35000000,7963.08088000,937904.04698900,2792
1611151200000,2021-01-20 14:00:00,DASH/USDT,117.55000000,118.52000000,116.49000000,117.51000000,11524.64912000,1355838.02904340,3671
1611147600000,2021-01-20 13:00:00,DASH/USDT,116.43000000,117.83000000,113.77000000,117.61000000,15248.87690000,1763253.19623370,5067
1611144000000,2021-01-20 12:00:00,DASH/USDT,114.77000000,116.48000000,112.79000000,116.42000000,14160.17835000,1628799.59043770,4488
1611140400000,2021-01-20 11:00:00,DASH/USDT,116.47000000,117.10000000,111.55000000,114.82000000,28129.98387000,3225192.33589990,8069
1611136800000,2021-01-20 10:00:00,DASH/USDT,115.08000000,116.95000000,113.33000000,116.51000000,42965.73753000,4931442.83644480,8849
1611133200000,2021-01-20 09:00:00,DASH/USDT,117.91000000,118.69000000,114.55000000,115.09000000,62232.97030000,7247254.29568670,13519
1611129600000,2021-01-20 08:00:00,DASH/USDT,119.77000000,121.32000000,117.59000000,117.91000000,52456.02669000,6260982.32722820,10400
1611126000000,2021-01-20 07:00:00,DASH/USDT,121.65000000,122.95000000,119.53000000,119.79000000,41151.99961000,4982922.59774420,8054
1611122400000,2021-01-20 06:00:00,DASH/USDT,123.65000000,123.92000000,121.58000000,121.72000000,7528.63782000,925267.49361030,2305
1611118800000,2021-01-20 05:00:00,DASH/USDT,122.23000000,123.65000000,121.71000000,123.64000000,8008.50511000,980241.78153830,2879
1611115200000,2021-01-20 04:00:00,DASH/USDT,121.09000000,122.30000000,118.45000000,122.26000000,25086.08059000,3023557.72112760,7378
1611111600000,2021-01-20 03:00:00,DASH/USDT,125.59000000,125.97000000,120.22000000,121.18000000,20645.89906000,2531231.18859150,5681
1611108000000,2021-01-20 02:00:00,DASH/USDT,124.62000000,125.87000000,123.65000000,125.65000000,4942.60318000,615188.90124680,1836
1611104400000,2021-01-20 01:00:00,DASH/USDT,126.94000000,127.07000000,123.89000000,124.63000000,9069.54818000,1132536.80293040,2919
1611100800000,2021-01-20 00:00:00,DASH/USDT,124.51000000,127.10000000,123.35000000,126.97000000,8669.20705000,1085178.62208680,2690
1611097200000,2021-01-19 23:00:00,DASH/USDT,127.66000000,128.00000000,124.02000000,124.46000000,11551.89034000,1450538.03996620,3341
1611093600000,2021-01-19 22:00:00,DASH/USDT,127.05000000,128.27000000,126.25000000,127.65000000,9009.42088000,1147891.50762220,2939
1611090000000,2021-01-19 21:00:00,DASH/USDT,126.68000000,127.83000000,126.16000000,127.09000000,5315.13233000,676353.62154380,1921
1611086400000,2021-01-19 20:00:00,DASH/USDT,125.17000000,126.94000000,123.98000000,126.75000000,17186.39117000,2152589.77791390,4431
1611082800000,2021-01-19 19:00:00,DASH/USDT,126.61000000,128.34000000,123.00000000,125.12000000,16939.71239000,2126430.04271470,5311
1611079200000,2021-01-19 18:00:00,DASH/USDT,131.13000000,131.36000000,126.35000000,126.61000000,18663.44915000,2407300.52345610,5760
1611075600000,2021-01-19 17:00:00,DASH/USDT,132.83000000,133.00000000,130.99000000,131.15000000,7545.49670000,997237.01507640,2369
1611072000000,2021-01-19 16:00:00,DASH/USDT,131.67000000,133.60000000,131.44000000,132.72000000,12337.67524000,1637340.94430700,3716
1611068400000,2021-01-19 15:00:00,DASH/USDT,131.56000000,131.97000000,130.57000000,131.68000000,8047.52381000,1057303.32467300,2256
1611064800000,2021-01-19 14:00:00,DASH/USDT,132.67000000,132.86000000,131.56000000,131.56000000,5310.20594000,701698.78048550,1991
1611061200000,2021-01-19 13:00:00,DASH/USDT,132.58000000,133.17000000,132.16000000,132.64000000,4452.73900000,591145.73905680,1570
1611057600000,2021-01-19 12:00:00,DASH/USDT,132.63000000,133.66000000,131.41000000,132.47000000,11080.19020000,1470772.01191200,3507
1611054000000,2021-01-19 11:00:00,DASH/USDT,131.70000000,132.83000000,131.20000000,132.57000000,8695.07841000,1148679.21993260,2334
1611050400000,2021-01-19 10:00:00,DASH/USDT,132.65000000,134.00000000,130.83000000,131.68000000,12608.87955000,1664814.36306850,3208
1611046800000,2021-01-19 09:00:00,DASH/USDT,132.30000000,134.45000000,131.45000000,132.59000000,9010.32509000,1198688.58612460,3816
1611043200000,2021-01-19 08:00:00,DASH/USDT,130.97000000,133.46000000,130.72000000,132.26000000,17823.35864000,2360089.91127160,5255
