https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume EOS,Volume BTC,tradecount
1611187200000,2021-01-21 00:00:00,EOS/BTC,0.00007820,0.00007830,0.00007810,0.00007820,4765.42000000,0.37269579,38
1611183600000,2021-01-20 23:00:00,EOS/BTC,0.00007880,0.00007890,0.00007760,0.00007840,207208.99000000,16.19950547,1273
1611180000000,2021-01-20 22:00:00,EOS/BTC,0.00007900,0.00007920,0.00007870,0.00007880,82696.04000000,6.51904269,536
1611176400000,2021-01-20 21:00:00,EOS/BTC,0.00007880,0.00007930,0.00007860,0.00007900,77197.96000000,6.09855849,599
1611172800000,2021-01-20 20:00:00,EOS/BTC,0.00007850,0.00007910,0.00007830,0.00007870,158967.93000000,12.54141882,854
1611169200000,2021-01-20 19:00:00,EOS/BTC,0.00007780,0.00007880,0.00007780,0.00007860,95370.63000000,7.47416114,753
1611165600000,2021-01-20 18:00:00,EOS/BTC,0.00007860,0.00007880,0.00007780,0.00007780,159749.33000000,12.50706419,892
1611162000000,2021-01-20 17:00:00,EOS/BTC,0.00007890,0.00007900,0.00007820,0.00007860,140831.60000000,11.08028206,918
1611158400000,2021-01-20 16:00:00,EOS/BTC,0.00007900,0.00007990,0.00007880,0.00007890,285503.14000000,22.67026007,1995
1611154800000,2021-01-20 15:00:00,EOS/BTC,0.00007810,0.00007910,0.00007800,0.00007900,191060.80000000,15.01287753,851
1611151200000,2021-01-20 14:00:00,EOS/BTC,0.00007830,0.00007840,0.00007790,0.00007820,139197.62000000,10.88029458,702
1611147600000,2021-01-20 13:00:00,EOS/BTC,0.00007840,0.00007890,0.00007820,0.00007830,93262.98000000,7.31949005,679
1611144000000,2021-01-20 12:00:00,EOS/BTC,0.00007850,0.00007880,0.00007820,0.00007850,156920.26000000,12.32395025,1036
1611140400000,2021-01-20 11:00:00,EOS/BTC,0.00007890,0.00007910,0.00007830,0.00007840,188368.12000000,14.81963615,1152
1611136800000,2021-01-20 10:00:00,EOS/BTC,0.00007890,0.00007900,0.00007830,0.00007890,212740.00000000,16.72225426,1188
1611133200000,2021-01-20 09:00:00,EOS/BTC,0.00007830,0.00007900,0.00007800,0.00007880,160997.42000000,12.64951769,1172
1611129600000,2021-01-20 08:00:00,EOS/BTC,0.00007790,0.00007830,0.00007770,0.00007830,88858.85000000,6.93197315,528
1611126000000,2021-01-20 07:00:00,EOS/BTC,0.00007820,0.00007860,0.00007790,0.00007790,153936.78000000,12.03492246,833
1611122400000,2021-01-20 06:00:00,EOS/BTC,0.00007800,0.00007830,0.00007780,0.00007810,149275.92000000,11.65322676,648
1611118800000,2021-01-20 05:00:00,EOS/BTC,0.00007810,0.00007840,0.00007770,0.00007800,86037.27000000,6.72013021,475
1611115200000,2021-01-20 04:00:00,EOS/BTC,0.00007830,0.00007840,0.00007790,0.00007820,121493.07000000,9.49220343,790
1611111600000,2021-01-20 03:00:00,EOS/BTC,0.00007780,0.00007850,0.00007780,0.00007840,130956.06000000,10.22983154,854
1611108000000,2021-01-20 02:00:00,EOS/BTC,0.00007730,0.00007810,0.00007720,0.00007770,69160.22000000,5.37171186,531
1611104400000,2021-01-20 01:00:00,EOS/BTC,0.00007760,0.00007780,0.00007720,0.00007740,106668.52000000,8.26683828,511
1611100800000,2021-01-20 00:00:00,EOS/BTC,0.00007770,0.00007800,0.00007740,0.00007750,76800.59000000,5.96435659,477
1611097200000,2021-01-19 23:00:00,EOS/BTC,0.00007760,0.00007790,0.00007730,0.00007770,155091.43000000,12.02293699,641
1611093600000,2021-01-19 22:00:00,EOS/BTC,0.00007790,0.00007810,0.00007750,0.00007770,114965.17000000,8.94128008,510
1611090000000,2021-01-19 21:00:00,EOS/BTC,0.00007780,0.00007820,0.00007720,0.00007800,120798.39000000,9.40422653,732
1611086400000,2021-01-19 20:00:00,EOS/BTC,0.00007760,0.00007780,0.00007730,0.00007780,120949.82000000,9.38076041,618
1611082800000,2021-01-19 19:00:00,EOS/BTC,0.00007680,0.00007780,0.00007680,0.00007770,226054.59000000,17.46570524,1008
1611079200000,2021-01-19 18:00:00,EOS/BTC,0.00007770,0.00007780,0.00007660,0.00007680,219482.69000000,16.92382577,1152
1611075600000,2021-01-19 17:00:00,EOS/BTC,0.00007750,0.00007780,0.00007720,0.00007770,226197.55000000,17.52289888,927
1611072000000,2021-01-19 16:00:00,EOS/BTC,0.00007770,0.00007800,0.00007700,0.00007740,249837.13000000,19.36500118,1107
1611068400000,2021-01-19 15:00:00,EOS/BTC,0.00007810,0.00007810,0.00007730,0.00007770,133295.96000000,10.35706802,706
1611064800000,2021-01-19 14:00:00,EOS/BTC,0.00007820,0.00007820,0.00007770,0.00007810,129648.26000000,10.10234387,822
1611061200000,2021-01-19 13:00:00,EOS/BTC,0.00007770,0.00007850,0.00007760,0.00007820,221425.36000000,17.26244114,1075
1611057600000,2021-01-19 12:00:00,EOS/BTC,0.00007790,0.00007800,0.00007750,0.00007770,430325.57000000,33.45412187,1322
1611054000000,2021-01-19 11:00:00,EOS/BTC,0.00007720,0.00007830,0.00007190,0.00007780,822855.24000000,63.29527011,3379
1611050400000,2021-01-19 10:00:00,EOS/BTC,0.00007760,0.00007770,0.00007710,0.00007720,201136.38000000,15.57572542,772
1611046800000,2021-01-19 09:00:00,EOS/BTC,0.00007780,0.00007790,0.00007740,0.00007740,192605.35000000,14.95131879,791
1611043200000,2021-01-19 08:00:00,EOS/BTC,0.00007770,0.00007820,0.00007690,0.00007770,416205.10000000,32.32271976,1701
1611039600000,2021-01-19 07:00:00,EOS/BTC,0.00007830,0.00007860,0.00007750,0.00007770,284425.40000000,22.19785927,1169
1611036000000,2021-01-19 06:00:00,EOS/BTC,0.00007890,0.00007980,0.00007780,0.00007820,653085.43000000,51.49310790,2469
1611032400000,2021-01-19 05:00:00,EOS/BTC,0.00007710,0.00007890,0.00007700,0.00007890,282972.83000000,22.00944619,1644
1611028800000,2021-01-19 04:00:00,EOS/BTC,0.00007720,0.00007750,0.00007700,0.00007720,253596.78000000,19.59274417,804
1611025200000,2021-01-19 03:00:00,EOS/BTC,0.00007690,0.00007740,0.00007670,0.00007720,198544.84000000,15.30831847,918
1611021600000,2021-01-19 02:00:00,EOS/BTC,0.00007660,0.00007720,0.00007640,0.00007680,221884.08000000,17.02981276,1139
1611018000000,2021-01-19 01:00:00,EOS/BTC,0.00007640,0.00007680,0.00007620,0.00007660,351089.41000000,26.84758956,1285
1611014400000,2021-01-19 00:00:00,EOS/BTC,0.00007690,0.00007690,0.00007620,0.00007640,105026.83000000,8.03483020,512
1611010800000,2021-01-18 23:00:00,EOS/BTC,0.00007620,0.00007700,0.00007610,0.00007680,113942.19000000,8.70811943,806
1611007200000,2021-01-18 22:00:00,EOS/BTC,0.00007690,0.00007700,0.00007610,0.00007620,126507.40000000,9.69482096,869
1611003600000,2021-01-18 21:00:00,EOS/BTC,0.00007720,0.00007740,0.00007680,0.00007700,112521.72000000,8.67542638,631
1611000000000,2021-01-18 20:00:00,EOS/BTC,0.00007730,0.00007790,0.00007660,0.00007720,208088.21000000,16.10251435,1077
1610996400000,2021-01-18 19:00:00,EOS/BTC,0.00007730,0.00007750,0.00007660,0.00007730,244092.23000000,18.83339675,1127
1610992800000,2021-01-18 18:00:00,EOS/BTC,0.00007720,0.00007740,0.00007700,0.00007720,63385.73000000,4.89439098,755
1610989200000,2021-01-18 17:00:00,EOS/BTC,0.00007660,0.00007740,0.00007660,0.00007720,193139.06000000,14.88813962,877
1610985600000,2021-01-18 16:00:00,EOS/BTC,0.00007670,0.00007750,0.00007650,0.00007670,213292.59000000,16.40097380,1244
1610982000000,2021-01-18 15:00:00,EOS/BTC,0.00007650,0.00007690,0.00007620,0.00007670,100659.69000000,7.70164487,551
1610978400000,2021-01-18 14:00:00,EOS/BTC,0.00007620,0.00007690,0.00007600,0.00007650,212611.95000000,16.24675466,948
1610974800000,2021-01-18 13:00:00,EOS/BTC,0.00007590,0.00007650,0.00007570,0.00007620,244077.55000000,18.59603531,1209
1610971200000,2021-01-18 12:00:00,EOS/BTC,0.00007680,0.00007690,0.00007530,0.00007590,301720.65000000,22.90901653,1715
1610967600000,2021-01-18 11:00:00,EOS/BTC,0.00007670,0.00007750,0.00007660,0.00007690,175922.95000000,13.54557044,1005
1610964000000,2021-01-18 10:00:00,EOS/BTC,0.00007650,0.00007700,0.00007640,0.00007660,162157.84000000,12.43245720,909
1610960400000,2021-01-18 09:00:00,EOS/BTC,0.00007650,0.00007690,0.00007590,0.00007660,218950.10000000,16.74084437,995
1610956800000,2021-01-18 08:00:00,EOS/BTC,0.00007680,0.00007680,0.00007610,0.00007650,86078.45000000,6.58115780,603
1610953200000,2021-01-18 07:00:00,EOS/BTC,0.00007740,0.00007750,0.00007600,0.00007680,161530.52000000,12.38986933,1225
1610949600000,2021-01-18 06:00:00,EOS/BTC,0.00007730,0.00007770,0.00007710,0.00007750,131956.67000000,10.20963798,600
1610946000000,2021-01-18 05:00:00,EOS/BTC,0.00007730,0.00007790,0.00007700,0.00007730,118307.01000000,9.15905444,562
