https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume EOS,Volume USDT,tradecount
1611187200000,2021-01-21 00:00:00,EOS/USDT,2.77610000,2.78320000,2.76410000,2.76550000,85027.26000000,235873.00223500,622
1611183600000,2021-01-20 23:00:00,EOS/USDT,2.75640000,2.78500000,2.74520000,2.77560000,614627.32000000,1700951.39279200,3412
1611180000000,2021-01-20 22:00:00,EOS/USDT,2.75560000,2.76560000,2.74850000,2.75670000,293205.18000000,808689.07975100,3050
1611176400000,2021-01-20 21:00:00,EOS/USDT,2.75850000,2.76370000,2.73060000,2.75700000,452245.23000000,1241662.86253100,6039
1611172800000,2021-01-20 20:00:00,EOS/USDT,2.76460000,2.76930000,2.74900000,2.75720000,406996.27000000,1123215.27304900,3319
1611169200000,2021-01-20 19:00:00,EOS/USDT,2.74190000,2.76700000,2.74080000,2.76370000,511096.47000000,1407052.56663900,6305
1611165600000,2021-01-20 18:00:00,EOS/USDT,2.73950000,2.74600000,2.73170000,2.74280000,518546.44000000,1420549.02709400,4136
1611162000000,2021-01-20 17:00:00,EOS/USDT,2.74000000,2.74390000,2.72410000,2.73910000,841500.51000000,2300674.97856000,9481
1611158400000,2021-01-20 16:00:00,EOS/USDT,2.70130000,2.74190000,2.65600000,2.74010000,2114709.36000000,5716688.35268100,15887
1611154800000,2021-01-20 15:00:00,EOS/USDT,2.72300000,2.73910000,2.69420000,2.70200000,747578.84000000,2033647.97846200,5460
1611151200000,2021-01-20 14:00:00,EOS/USDT,2.73530000,2.74210000,2.72090000,2.72290000,627387.27000000,1715132.60127700,4468
1611147600000,2021-01-20 13:00:00,EOS/USDT,2.72500000,2.73780000,2.68860000,2.73560000,1075397.48000000,2922209.96766700,7308
1611144000000,2021-01-20 12:00:00,EOS/USDT,2.70120000,2.72800000,2.67720000,2.72460000,1367061.84000000,3705446.06511700,9509
1611140400000,2021-01-20 11:00:00,EOS/USDT,2.73910000,2.75110000,2.67500000,2.70140000,2189376.57000000,5921183.47652100,14381
1611136800000,2021-01-20 10:00:00,EOS/USDT,2.74300000,2.74410000,2.70930000,2.73900000,2153599.85000000,5875775.39125800,11423
1611133200000,2021-01-20 09:00:00,EOS/USDT,2.77630000,2.78170000,2.72190000,2.74290000,1507794.71000000,4141445.92328400,9779
1611129600000,2021-01-20 08:00:00,EOS/USDT,2.78060000,2.79470000,2.76130000,2.77620000,934485.37000000,2596161.94012000,6187
1611126000000,2021-01-20 07:00:00,EOS/USDT,2.75550000,2.80000000,2.75020000,2.78040000,1118282.64000000,3114294.50748000,7668
1611122400000,2021-01-20 06:00:00,EOS/USDT,2.76730000,2.77680000,2.74660000,2.75610000,650859.80000000,1799215.65863000,5508
1611118800000,2021-01-20 05:00:00,EOS/USDT,2.75660000,2.77070000,2.74740000,2.76760000,801468.07000000,2211404.46975100,8193
1611115200000,2021-01-20 04:00:00,EOS/USDT,2.74580000,2.76090000,2.72000000,2.75650000,1291698.02000000,3544901.72484100,8781
1611111600000,2021-01-20 03:00:00,EOS/USDT,2.80610000,2.80940000,2.73690000,2.74590000,1401969.73000000,3873989.02815000,9437
1611108000000,2021-01-20 02:00:00,EOS/USDT,2.79380000,2.80890000,2.77610000,2.80620000,623037.66000000,1737993.10510100,5641
1611104400000,2021-01-20 01:00:00,EOS/USDT,2.81840000,2.82340000,2.78730000,2.79370000,796284.38000000,2233328.53024900,6073
1611100800000,2021-01-20 00:00:00,EOS/USDT,2.78970000,2.81990000,2.76900000,2.81840000,1097218.42000000,3071520.54854500,6591
1611097200000,2021-01-19 23:00:00,EOS/USDT,2.84700000,2.84920000,2.78730000,2.78950000,856419.09000000,2409809.15823300,4607
1611093600000,2021-01-19 22:00:00,EOS/USDT,2.84000000,2.85360000,2.83190000,2.84830000,425733.78000000,1210441.73651900,2561
1611090000000,2021-01-19 21:00:00,EOS/USDT,2.83340000,2.85920000,2.82640000,2.84040000,887728.01000000,2525395.97201300,5032
1611086400000,2021-01-19 20:00:00,EOS/USDT,2.81820000,2.83680000,2.80200000,2.83440000,833157.42000000,2350775.02374000,6117
1611082800000,2021-01-19 19:00:00,EOS/USDT,2.80190000,2.83880000,2.78200000,2.81830000,1817065.69000000,5115066.13485400,11135
1611079200000,2021-01-19 18:00:00,EOS/USDT,2.88770000,2.88790000,2.79920000,2.80190000,2119731.85000000,6021367.34563900,14077
1611075600000,2021-01-19 17:00:00,EOS/USDT,2.89320000,2.90210000,2.87090000,2.88980000,1229578.27000000,3546280.13865100,7545
1611072000000,2021-01-19 16:00:00,EOS/USDT,2.90210000,2.92720000,2.89000000,2.89380000,1960672.61000000,5706773.50686700,11714
1611068400000,2021-01-19 15:00:00,EOS/USDT,2.88990000,2.90300000,2.86650000,2.90290000,1018484.90000000,2933607.70502600,6933
1611064800000,2021-01-19 14:00:00,EOS/USDT,2.90010000,2.90500000,2.87850000,2.88920000,1162384.49000000,3360399.96757300,7830
1611061200000,2021-01-19 13:00:00,EOS/USDT,2.85800000,2.90840000,2.85800000,2.89910000,1229702.87000000,3547168.68910200,7509
1611057600000,2021-01-19 12:00:00,EOS/USDT,2.90100000,2.91000000,2.85320000,2.85800000,2069615.35000000,5964552.98606600,10786
1611054000000,2021-01-19 11:00:00,EOS/USDT,2.86490000,2.90140000,2.85450000,2.90060000,1744811.72000000,5022296.46584500,9816
1611050400000,2021-01-19 10:00:00,EOS/USDT,2.87430000,2.88760000,2.83640000,2.86490000,1515690.68000000,4340449.28222500,8382
1611046800000,2021-01-19 09:00:00,EOS/USDT,2.89260000,2.90490000,2.87180000,2.87310000,1509368.11000000,4363309.00012400,8494
1611043200000,2021-01-19 08:00:00,EOS/USDT,2.88810000,2.91190000,2.86830000,2.89290000,2253944.07000000,6519850.24781400,12985
1611039600000,2021-01-19 07:00:00,EOS/USDT,2.86280000,2.89010000,2.84990000,2.88800000,1514840.30000000,4349614.99915400,8807
1611036000000,2021-01-19 06:00:00,EOS/USDT,2.86180000,2.90500000,2.84510000,2.86290000,2869988.57000000,8245946.54903900,15292
1611032400000,2021-01-19 05:00:00,EOS/USDT,2.80200000,2.86330000,2.80000000,2.86160000,1471911.03000000,4160313.23607900,7617
1611028800000,2021-01-19 04:00:00,EOS/USDT,2.81490000,2.82540000,2.80000000,2.80190000,810572.39000000,2282620.39174500,4618
1611025200000,2021-01-19 03:00:00,EOS/USDT,2.82800000,2.83320000,2.81270000,2.81480000,1470664.34000000,4152183.05541700,8232
1611021600000,2021-01-19 02:00:00,EOS/USDT,2.82860000,2.83380000,2.80700000,2.82830000,1468430.11000000,4142576.94929500,9023
1611018000000,2021-01-19 01:00:00,EOS/USDT,2.80090000,2.84850000,2.80000000,2.82870000,1590344.50000000,4495563.66769700,10630
1611014400000,2021-01-19 00:00:00,EOS/USDT,2.81550000,2.82150000,2.79020000,2.80040000,860761.89000000,2413494.54481000,5172
1611010800000,2021-01-18 23:00:00,EOS/USDT,2.78190000,2.81660000,2.78170000,2.81440000,662456.25000000,1854904.98227100,4481
1611007200000,2021-01-18 22:00:00,EOS/USDT,2.78600000,2.79150000,2.77420000,2.78180000,416077.00000000,1157832.16454500,2772
1611003600000,2021-01-18 21:00:00,EOS/USDT,2.78380000,2.79440000,2.78250000,2.78600000,701198.02000000,1955690.45850200,3938
1611000000000,2021-01-18 20:00:00,EOS/USDT,2.77840000,2.79150000,2.77440000,2.78390000,769305.32000000,2142202.17170600,4860
1610996400000,2021-01-18 19:00:00,EOS/USDT,2.76350000,2.78340000,2.75910000,2.77940000,757451.90000000,2098609.22188400,5392
1610992800000,2021-01-18 18:00:00,EOS/USDT,2.75370000,2.76650000,2.74800000,2.76300000,596587.64000000,1645670.37356000,4672
1610989200000,2021-01-18 17:00:00,EOS/USDT,2.77570000,2.78200000,2.73850000,2.75330000,974964.10000000,2684282.90279700,6848
1610985600000,2021-01-18 16:00:00,EOS/USDT,2.79250000,2.81080000,2.76900000,2.77610000,871635.87000000,2428296.61195400,5844
1610982000000,2021-01-18 15:00:00,EOS/USDT,2.78590000,2.79570000,2.77080000,2.79230000,919713.75000000,2560046.48244700,5240
1610978400000,2021-01-18 14:00:00,EOS/USDT,2.80170000,2.81500000,2.76730000,2.78520000,1791997.01000000,5002133.39756200,8952
1610974800000,2021-01-18 13:00:00,EOS/USDT,2.80720000,2.81990000,2.79930000,2.80170000,1260382.99000000,3541321.74186200,7256
1610971200000,2021-01-18 12:00:00,EOS/USDT,2.79970000,2.83510000,2.78900000,2.80650000,1886421.69000000,5312537.62199400,11064
1610967600000,2021-01-18 11:00:00,EOS/USDT,2.77750000,2.80000000,2.75430000,2.79990000,1467400.57000000,4074817.77098300,7778
1610964000000,2021-01-18 10:00:00,EOS/USDT,2.79880000,2.80000000,2.76650000,2.77750000,1117254.88000000,3109234.10283400,7231
1610960400000,2021-01-18 09:00:00,EOS/USDT,2.77070000,2.80100000,2.77000000,2.79890000,1601715.04000000,4466725.52725900,7726
1610956800000,2021-01-18 08:00:00,EOS/USDT,2.77200000,2.78000000,2.76240000,2.77050000,775912.80000000,2149836.39020000,5540
1610953200000,2021-01-18 07:00:00,EOS/USDT,2.72550000,2.78460000,2.72190000,2.77170000,972380.80000000,2682466.34886800,6948
