https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ETC,Volume BTC,tradecount
1611187200000,2021-01-21 00:00:00,ETC/BTC,0.00022280,0.00022330,0.00022270,0.00022330,1721.30000000,0.38389943,43
1611183600000,2021-01-20 23:00:00,ETC/BTC,0.00022340,0.00022360,0.00022110,0.00022280,44357.35000000,9.86748429,835
1611180000000,2021-01-20 22:00:00,ETC/BTC,0.00022200,0.00022350,0.00022120,0.00022340,7368.55000000,1.63975234,446
1611176400000,2021-01-20 21:00:00,ETC/BTC,0.00022110,0.00022220,0.00022040,0.00022210,11998.97000000,2.65681985,562
1611172800000,2021-01-20 20:00:00,ETC/BTC,0.00021980,0.00022120,0.00021920,0.00022090,15840.35000000,3.49153859,669
1611169200000,2021-01-20 19:00:00,ETC/BTC,0.00021840,0.00022060,0.00021830,0.00021990,18465.96000000,4.05872766,608
1611165600000,2021-01-20 18:00:00,ETC/BTC,0.00022030,0.00022090,0.00021830,0.00021830,12737.83000000,2.79984270,678
1611162000000,2021-01-20 17:00:00,ETC/BTC,0.00022350,0.00022350,0.00021940,0.00022050,26107.49000000,5.77619844,745
1611158400000,2021-01-20 16:00:00,ETC/BTC,0.00022080,0.00022540,0.00022030,0.00022370,30756.40000000,6.87420883,1128
1611154800000,2021-01-20 15:00:00,ETC/BTC,0.00021940,0.00022100,0.00021940,0.00022090,16032.45000000,3.53054631,525
1611151200000,2021-01-20 14:00:00,ETC/BTC,0.00022070,0.00022140,0.00021910,0.00021930,15165.14000000,3.34089889,395
1611147600000,2021-01-20 13:00:00,ETC/BTC,0.00021900,0.00022270,0.00021900,0.00022080,36221.26000000,8.01678847,720
1611144000000,2021-01-20 12:00:00,ETC/BTC,0.00021880,0.00021990,0.00021680,0.00021930,27838.02000000,6.07668829,685
1611140400000,2021-01-20 11:00:00,ETC/BTC,0.00021980,0.00022050,0.00021770,0.00021870,44442.74000000,9.73067003,1180
1611136800000,2021-01-20 10:00:00,ETC/BTC,0.00022100,0.00022110,0.00021840,0.00021970,19272.92000000,4.23154872,901
1611133200000,2021-01-20 09:00:00,ETC/BTC,0.00022140,0.00022170,0.00021940,0.00022090,43750.13000000,9.64950637,1206
1611129600000,2021-01-20 08:00:00,ETC/BTC,0.00022130,0.00022210,0.00022090,0.00022100,39354.30000000,8.70538182,809
1611126000000,2021-01-20 07:00:00,ETC/BTC,0.00022150,0.00022280,0.00022100,0.00022110,19675.45000000,4.36585516,706
1611122400000,2021-01-20 06:00:00,ETC/BTC,0.00022240,0.00022300,0.00022150,0.00022160,25725.22000000,5.71921535,586
1611118800000,2021-01-20 05:00:00,ETC/BTC,0.00022260,0.00022320,0.00022160,0.00022240,18659.66000000,4.15109146,674
1611115200000,2021-01-20 04:00:00,ETC/BTC,0.00022130,0.00022250,0.00022020,0.00022250,51021.17000000,11.29490751,1057
1611111600000,2021-01-20 03:00:00,ETC/BTC,0.00022090,0.00022170,0.00021940,0.00022150,52164.40000000,11.51055732,1065
1611108000000,2021-01-20 02:00:00,ETC/BTC,0.00021850,0.00022160,0.00021840,0.00022080,44046.00000000,9.67101971,830
1611104400000,2021-01-20 01:00:00,ETC/BTC,0.00022120,0.00022130,0.00021790,0.00021860,34867.67000000,7.64588906,834
1611100800000,2021-01-20 00:00:00,ETC/BTC,0.00021790,0.00022160,0.00021700,0.00022140,34062.17000000,7.48490837,873
1611097200000,2021-01-19 23:00:00,ETC/BTC,0.00021980,0.00022050,0.00021700,0.00021760,36923.48000000,8.09132233,893
1611093600000,2021-01-19 22:00:00,ETC/BTC,0.00021950,0.00022050,0.00021870,0.00021970,24689.21000000,5.42559328,963
1611090000000,2021-01-19 21:00:00,ETC/BTC,0.00021880,0.00022000,0.00021810,0.00021980,24301.42000000,5.33056769,591
1611086400000,2021-01-19 20:00:00,ETC/BTC,0.00021720,0.00021890,0.00021660,0.00021880,14341.88000000,3.12480037,545
1611082800000,2021-01-19 19:00:00,ETC/BTC,0.00021540,0.00021770,0.00021490,0.00021730,28838.32000000,6.23805525,1003
1611079200000,2021-01-19 18:00:00,ETC/BTC,0.00021810,0.00021870,0.00021280,0.00021520,87057.20000000,18.77252946,2052
1611075600000,2021-01-19 17:00:00,ETC/BTC,0.00022030,0.00022100,0.00021740,0.00021820,63633.21000000,13.91603982,1491
1611072000000,2021-01-19 16:00:00,ETC/BTC,0.00022330,0.00022420,0.00021950,0.00022020,34148.05000000,7.56418470,1033
1611068400000,2021-01-19 15:00:00,ETC/BTC,0.00022550,0.00022550,0.00022130,0.00022330,72422.71000000,16.11903141,1316
1611064800000,2021-01-19 14:00:00,ETC/BTC,0.00022660,0.00022710,0.00022390,0.00022550,28513.01000000,6.42159467,879
1611061200000,2021-01-19 13:00:00,ETC/BTC,0.00022440,0.00022770,0.00022370,0.00022670,36811.50000000,8.29190497,1377
1611057600000,2021-01-19 12:00:00,ETC/BTC,0.00022710,0.00022790,0.00022250,0.00022450,99571.89000000,22.36167369,2353
1611054000000,2021-01-19 11:00:00,ETC/BTC,0.00021870,0.00022980,0.00021870,0.00022710,159869.61000000,35.96250866,2833
1611050400000,2021-01-19 10:00:00,ETC/BTC,0.00021780,0.00022120,0.00021730,0.00021870,74893.88000000,16.36551016,1650
1611046800000,2021-01-19 09:00:00,ETC/BTC,0.00021690,0.00021920,0.00021630,0.00021790,42260.92000000,9.19184705,1210
1611043200000,2021-01-19 08:00:00,ETC/BTC,0.00021760,0.00022070,0.00021630,0.00021690,51762.43000000,11.32811054,1622
1611039600000,2021-01-19 07:00:00,ETC/BTC,0.00021750,0.00021920,0.00021680,0.00021770,32281.17000000,7.02868126,827
1611036000000,2021-01-19 06:00:00,ETC/BTC,0.00021770,0.00021870,0.00021700,0.00021720,26184.71000000,5.70491956,622
1611032400000,2021-01-19 05:00:00,ETC/BTC,0.00021620,0.00021790,0.00021570,0.00021770,23306.84000000,5.04777368,623
1611028800000,2021-01-19 04:00:00,ETC/BTC,0.00021640,0.00021780,0.00021460,0.00021610,15380.52000000,3.32927227,538
1611025200000,2021-01-19 03:00:00,ETC/BTC,0.00021850,0.00021970,0.00021620,0.00021680,22875.43000000,4.98979150,692
1611021600000,2021-01-19 02:00:00,ETC/BTC,0.00021490,0.00021940,0.00021440,0.00021830,44864.48000000,9.71445295,1483
1611018000000,2021-01-19 01:00:00,ETC/BTC,0.00020970,0.00021700,0.00020870,0.00021490,94700.62000000,20.22213175,2613
1611014400000,2021-01-19 00:00:00,ETC/BTC,0.00021030,0.00021140,0.00020920,0.00020990,29849.46000000,6.27089558,591
1611010800000,2021-01-18 23:00:00,ETC/BTC,0.00020910,0.00021090,0.00020870,0.00021040,21092.56000000,4.41832256,565
1611007200000,2021-01-18 22:00:00,ETC/BTC,0.00020970,0.00020990,0.00020870,0.00020900,10609.47000000,2.22048316,541
1611003600000,2021-01-18 21:00:00,ETC/BTC,0.00021030,0.00021080,0.00020930,0.00020980,9133.15000000,1.92048467,484
