https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ETC,Volume USDT,tradecount
1611187200000,2021-01-21 00:00:00,ETC/USDT,7.90460000,7.93500000,7.88340000,7.88870000,11819.23000000,93575.06029200,224
1611183600000,2021-01-20 23:00:00,ETC/USDT,7.81310000,7.94140000,7.74830000,7.90000000,161760.19000000,1272803.66082500,2889
1611180000000,2021-01-20 22:00:00,ETC/USDT,7.74920000,7.81830000,7.73570000,7.81310000,62043.24000000,482447.15302200,1581
1611176400000,2021-01-20 21:00:00,ETC/USDT,7.73290000,7.76700000,7.66290000,7.74950000,92806.27000000,716123.20427300,1547
1611172800000,2021-01-20 20:00:00,ETC/USDT,7.74000000,7.75520000,7.67740000,7.72750000,90643.39000000,699411.32180200,1994
1611169200000,2021-01-20 19:00:00,ETC/USDT,7.69600000,7.75000000,7.68010000,7.74000000,134832.88000000,1038803.93833900,1917
1611165600000,2021-01-20 18:00:00,ETC/USDT,7.68110000,7.69980000,7.64260000,7.69890000,66992.84000000,514032.56024700,1745
1611162000000,2021-01-20 17:00:00,ETC/USDT,7.76200000,7.76290000,7.66080000,7.67860000,156625.13000000,1206511.90680500,2995
1611158400000,2021-01-20 16:00:00,ETC/USDT,7.55750000,7.78120000,7.45000000,7.76610000,318981.07000000,2432038.07485400,6746
1611154800000,2021-01-20 15:00:00,ETC/USDT,7.65130000,7.70990000,7.51940000,7.55270000,173949.78000000,1324814.65172900,2830
1611151200000,2021-01-20 14:00:00,ETC/USDT,7.71590000,7.74600000,7.63310000,7.65140000,142701.44000000,1098013.21980500,2689
1611147600000,2021-01-20 13:00:00,ETC/USDT,7.60680000,7.77890000,7.56670000,7.71990000,272694.62000000,2086161.16430100,4989
1611144000000,2021-01-20 12:00:00,ETC/USDT,7.52560000,7.62100000,7.39050000,7.60910000,246846.98000000,1854791.77441000,5414
1611140400000,2021-01-20 11:00:00,ETC/USDT,7.62200000,7.67090000,7.42290000,7.53310000,453700.01000000,3415575.35182000,7589
1611136800000,2021-01-20 10:00:00,ETC/USDT,7.69240000,7.69240000,7.54550000,7.62190000,306543.09000000,2335102.02465600,5360
1611133200000,2021-01-20 09:00:00,ETC/USDT,7.84610000,7.87310000,7.60000000,7.68970000,328985.45000000,2536930.66218000,6076
1611129600000,2021-01-20 08:00:00,ETC/USDT,7.88750000,7.94860000,7.82720000,7.85190000,146259.60000000,1153672.19877100,3426
1611126000000,2021-01-20 07:00:00,ETC/USDT,7.81960000,7.95570000,7.78450000,7.88560000,182990.42000000,1444550.89234500,2947
1611122400000,2021-01-20 06:00:00,ETC/USDT,7.89130000,7.91580000,7.79300000,7.81300000,101801.35000000,801170.64676700,2134
