https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ETH,Volume BTC,tradecount
1611187200000,2021-01-21 00:00:00,ETH/BTC,0.03882000,0.03905000,0.03867400,0.03871000,3149.73900000,122.50929053,3748
1611183600000,2021-01-20 23:00:00,ETH/BTC,0.03817100,0.03899300,0.03793300,0.03881900,19665.66900000,755.27747899,25711
1611180000000,2021-01-20 22:00:00,ETH/BTC,0.03792000,0.03824400,0.03782700,0.03817100,5533.36600000,210.53584143,13618
1611176400000,2021-01-20 21:00:00,ETH/BTC,0.03810600,0.03818300,0.03773900,0.03791900,9967.39800000,377.79270365,14915
1611172800000,2021-01-20 20:00:00,ETH/BTC,0.03823800,0.03843700,0.03802200,0.03810400,17577.54500000,672.27350976,20018
1611169200000,2021-01-20 19:00:00,ETH/BTC,0.03738800,0.03825000,0.03733700,0.03825000,16867.38600000,638.90544962,21201
1611165600000,2021-01-20 18:00:00,ETH/BTC,0.03764500,0.03775400,0.03734100,0.03738800,11535.96500000,433.21300858,15289
1611162000000,2021-01-20 17:00:00,ETH/BTC,0.03780100,0.03781000,0.03717500,0.03764500,17008.28400000,637.88251459,19114
1611158400000,2021-01-20 16:00:00,ETH/BTC,0.03724700,0.03818800,0.03710000,0.03780100,28882.49100000,1089.90420095,33886
1611154800000,2021-01-20 15:00:00,ETH/BTC,0.03737100,0.03765000,0.03712700,0.03724700,21130.95400000,789.73092275,23647
1611151200000,2021-01-20 14:00:00,ETH/BTC,0.03748700,0.03770300,0.03730400,0.03737000,22659.08500000,849.16545651,21879
1611147600000,2021-01-20 13:00:00,ETH/BTC,0.03724800,0.03750000,0.03685800,0.03748800,22779.46600000,846.80516871,25850
1611144000000,2021-01-20 12:00:00,ETH/BTC,0.03675800,0.03748000,0.03627200,0.03725100,34821.59900000,1286.92475798,36834
1611140400000,2021-01-20 11:00:00,ETH/BTC,0.03753300,0.03758000,0.03667000,0.03675900,34186.16800000,1264.24620754,35274
1611136800000,2021-01-20 10:00:00,ETH/BTC,0.03765600,0.03767000,0.03715500,0.03753300,29633.88500000,1110.47342839,32189
1611133200000,2021-01-20 09:00:00,ETH/BTC,0.03805400,0.03811500,0.03748200,0.03764400,28727.86600000,1086.95636790,30043
1611129600000,2021-01-20 08:00:00,ETH/BTC,0.03840000,0.03840200,0.03802500,0.03805300,17638.61700000,673.84251066,19029
1611126000000,2021-01-20 07:00:00,ETH/BTC,0.03825500,0.03855900,0.03806000,0.03839500,18884.19100000,724.63741985,22490
1611122400000,2021-01-20 06:00:00,ETH/BTC,0.03856200,0.03872200,0.03818300,0.03824900,17474.21300000,672.47846749,19613
1611118800000,2021-01-20 05:00:00,ETH/BTC,0.03847500,0.03866000,0.03831900,0.03856800,16842.40400000,648.85285066,19092
1611115200000,2021-01-20 04:00:00,ETH/BTC,0.03833000,0.03851200,0.03790000,0.03847500,27746.00500000,1062.75319431,30503
1611111600000,2021-01-20 03:00:00,ETH/BTC,0.03875000,0.03893900,0.03823700,0.03832900,35516.03200000,1372.19057525,33051
