https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume IOTA,Volume BTC,tradecount
1611187200000,2021-01-21 00:00:00,IOTA/BTC,0.00001329,0.00001382,0.00001329,0.00001344,851816.00000000,11.53066296,1502
1611183600000,2021-01-20 23:00:00,IOTA/BTC,0.00001327,0.00001331,0.00001312,0.00001329,201598.00000000,2.66597406,482
1611180000000,2021-01-20 22:00:00,IOTA/BTC,0.00001321,0.00001329,0.00001317,0.00001328,96615.00000000,1.27735675,311
1611176400000,2021-01-20 21:00:00,IOTA/BTC,0.00001323,0.00001331,0.00001308,0.00001323,214227.00000000,2.82573194,524
1611172800000,2021-01-20 20:00:00,IOTA/BTC,0.00001324,0.00001332,0.00001316,0.00001322,231653.00000000,3.06723570,457
1611169200000,2021-01-20 19:00:00,IOTA/BTC,0.00001313,0.00001333,0.00001313,0.00001324,154030.00000000,2.04221281,442
1611165600000,2021-01-20 18:00:00,IOTA/BTC,0.00001319,0.00001322,0.00001305,0.00001314,100936.00000000,1.32572746,338
1611162000000,2021-01-20 17:00:00,IOTA/BTC,0.00001326,0.00001327,0.00001310,0.00001319,170509.00000000,2.24776143,524
1611158400000,2021-01-20 16:00:00,IOTA/BTC,0.00001285,0.00001329,0.00001279,0.00001324,565577.00000000,7.37278859,1218
1611154800000,2021-01-20 15:00:00,IOTA/BTC,0.00001289,0.00001302,0.00001283,0.00001287,235560.00000000,3.04809703,492
1611151200000,2021-01-20 14:00:00,IOTA/BTC,0.00001296,0.00001305,0.00001282,0.00001289,227306.00000000,2.94308407,528
1611147600000,2021-01-20 13:00:00,IOTA/BTC,0.00001288,0.00001306,0.00001272,0.00001297,318387.00000000,4.09526009,661
1611144000000,2021-01-20 12:00:00,IOTA/BTC,0.00001280,0.00001295,0.00001260,0.00001286,556090.00000000,7.10265780,1047
1611140400000,2021-01-20 11:00:00,IOTA/BTC,0.00001317,0.00001322,0.00001273,0.00001280,801818.00000000,10.35288613,1521
1611136800000,2021-01-20 10:00:00,IOTA/BTC,0.00001310,0.00001322,0.00001296,0.00001321,459934.00000000,6.01307504,889
1611133200000,2021-01-20 09:00:00,IOTA/BTC,0.00001347,0.00001350,0.00001306,0.00001307,767589.00000000,10.16678190,1082
1611129600000,2021-01-20 08:00:00,IOTA/BTC,0.00001354,0.00001357,0.00001333,0.00001347,187732.00000000,2.52688479,617
1611126000000,2021-01-20 07:00:00,IOTA/BTC,0.00001326,0.00001359,0.00001325,0.00001355,503572.00000000,6.76327784,851
1611122400000,2021-01-20 06:00:00,IOTA/BTC,0.00001312,0.00001336,0.00001309,0.00001326,351068.00000000,4.65044463,598
1611118800000,2021-01-20 05:00:00,IOTA/BTC,0.00001302,0.00001314,0.00001299,0.00001314,114294.00000000,1.49206759,353
1611115200000,2021-01-20 04:00:00,IOTA/BTC,0.00001301,0.00001306,0.00001270,0.00001302,417293.00000000,5.38537779,756
1611111600000,2021-01-20 03:00:00,IOTA/BTC,0.00001319,0.00001320,0.00001296,0.00001303,248333.00000000,3.24379388,531
1611108000000,2021-01-20 02:00:00,IOTA/BTC,0.00001331,0.00001332,0.00001306,0.00001315,85226.00000000,1.11972688,348
1611104400000,2021-01-20 01:00:00,IOTA/BTC,0.00001331,0.00001331,0.00001316,0.00001330,51026.00000000,0.67563431,253
1611100800000,2021-01-20 00:00:00,IOTA/BTC,0.00001310,0.00001336,0.00001303,0.00001329,126343.00000000,1.67283740,496
1611097200000,2021-01-19 23:00:00,IOTA/BTC,0.00001325,0.00001326,0.00001301,0.00001307,264032.00000000,3.45758876,558
1611093600000,2021-01-19 22:00:00,IOTA/BTC,0.00001315,0.00001334,0.00001300,0.00001326,368144.00000000,4.84367754,609
1611090000000,2021-01-19 21:00:00,IOTA/BTC,0.00001310,0.00001326,0.00001308,0.00001315,472528.00000000,6.22971454,563
1611086400000,2021-01-19 20:00:00,IOTA/BTC,0.00001303,0.00001319,0.00001293,0.00001306,634688.00000000,8.27851219,713
1611082800000,2021-01-19 19:00:00,IOTA/BTC,0.00001292,0.00001315,0.00001287,0.00001303,494293.00000000,6.43052746,772
