https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume LINK,Volume USDT,tradecount
1611187200000,2021-01-21 00:00:00,LINK/USDT,21.84210000,22.03070000,21.75870000,21.77350000,143175.83000000,3141390.53913800,3394
1611183600000,2021-01-20 23:00:00,LINK/USDT,21.46780000,21.97880000,21.30000000,21.84820000,501522.19000000,10883816.14208600,14404
1611180000000,2021-01-20 22:00:00,LINK/USDT,21.18910000,21.55070000,21.07760000,21.46940000,222728.89000000,4747274.75687800,7949
1611176400000,2021-01-20 21:00:00,LINK/USDT,21.11380000,21.21200000,20.72260000,21.19650000,381196.08000000,7993293.53465500,11448
1611172800000,2021-01-20 20:00:00,LINK/USDT,21.30400000,21.58610000,21.06050000,21.12200000,671451.99000000,14295855.59369400,19412
1611169200000,2021-01-20 19:00:00,LINK/USDT,20.69770000,21.30850000,20.51630000,21.29100000,497947.27000000,10401711.01350900,15998
1611165600000,2021-01-20 18:00:00,LINK/USDT,20.51430000,20.81160000,20.43410000,20.70580000,378589.09000000,7807902.72501800,13700
1611162000000,2021-01-20 17:00:00,LINK/USDT,20.42250000,20.52710000,20.20670000,20.52020000,374731.04000000,7626970.22827400,13607
1611158400000,2021-01-20 16:00:00,LINK/USDT,19.62220000,20.48660000,19.21530000,20.42960000,1183151.51000000,23593855.35681800,33786
1611154800000,2021-01-20 15:00:00,LINK/USDT,20.05080000,20.16030000,19.55000000,19.63330000,395264.76000000,7848534.63873000,12136
1611151200000,2021-01-20 14:00:00,LINK/USDT,20.13080000,20.41890000,19.98800000,20.05480000,465576.60000000,9391910.40686700,12935
1611147600000,2021-01-20 13:00:00,LINK/USDT,19.76570000,20.21880000,19.31880000,20.12920000,584739.64000000,11571240.32842300,18988
1611144000000,2021-01-20 12:00:00,LINK/USDT,19.61890000,19.83890000,19.06450000,19.76770000,935938.59000000,18223645.64410500,29424
1611140400000,2021-01-20 11:00:00,LINK/USDT,20.21000000,20.30000000,19.40000000,19.62060000,896353.30000000,17661828.93163200,24102
1611136800000,2021-01-20 10:00:00,LINK/USDT,20.19820000,20.30000000,19.77000000,20.21180000,753733.05000000,15077412.78976200,21708
1611133200000,2021-01-20 09:00:00,LINK/USDT,20.67500000,20.75230000,20.02870000,20.20120000,706888.18000000,14378073.81387300,15632
1611129600000,2021-01-20 08:00:00,LINK/USDT,20.77430000,20.88750000,20.57060000,20.67250000,305097.56000000,6321225.78912400,8290
1611126000000,2021-01-20 07:00:00,LINK/USDT,20.52870000,21.05850000,20.45990000,20.77950000,396359.55000000,8267847.42976400,10897
1611122400000,2021-01-20 06:00:00,LINK/USDT,20.56000000,20.80930000,20.44100000,20.51990000,410307.83000000,8468330.37912200,8981
1611118800000,2021-01-20 05:00:00,LINK/USDT,20.42870000,20.62660000,20.25000000,20.56000000,352992.75000000,7217884.14600400,8802
1611115200000,2021-01-20 04:00:00,LINK/USDT,20.21640000,20.48420000,19.95880000,20.42560000,532300.59000000,10783965.14882200,16912
1611111600000,2021-01-20 03:00:00,LINK/USDT,20.97140000,21.05110000,20.08910000,20.22050000,568559.92000000,11672565.04198200,15640
1611108000000,2021-01-20 02:00:00,LINK/USDT,20.84710000,21.06560000,20.58410000,20.97140000,355991.62000000,7402139.11245100,9016
1611104400000,2021-01-20 01:00:00,LINK/USDT,21.10030000,21.14060000,20.69230000,20.84980000,226920.37000000,4742442.74307200,9701
1611100800000,2021-01-20 00:00:00,LINK/USDT,20.54370000,21.13390000,20.41410000,21.09980000,355889.52000000,7394387.85913500,15643
1611097200000,2021-01-19 23:00:00,LINK/USDT,21.20520000,21.24090000,20.52470000,20.55570000,304604.85000000,6364060.70483700,8816
1611093600000,2021-01-19 22:00:00,LINK/USDT,21.29510000,21.46000000,21.02480000,21.20000000,230140.40000000,4881370.17113800,7416
1611090000000,2021-01-19 21:00:00,LINK/USDT,21.08630000,21.47410000,20.94090000,21.30210000,437355.50000000,9307466.62128200,11464
1611086400000,2021-01-19 20:00:00,LINK/USDT,20.73470000,21.17260000,20.50760000,21.07620000,535341.68000000,11198759.10540300,12545
1611082800000,2021-01-19 19:00:00,LINK/USDT,20.96070000,21.23210000,20.37740000,20.74320000,611963.84000000,12763039.60626500,22161
1611079200000,2021-01-19 18:00:00,LINK/USDT,21.83180000,21.84080000,20.75120000,20.96670000,544030.62000000,11583238.96234500,18429
1611075600000,2021-01-19 17:00:00,LINK/USDT,21.58070000,21.93950000,21.56240000,21.83550000,311093.04000000,6771120.10116000,10965
1611072000000,2021-01-19 16:00:00,LINK/USDT,21.66490000,21.87560000,21.45000000,21.58350000,311096.16000000,6729762.52678000,12589
1611068400000,2021-01-19 15:00:00,LINK/USDT,21.63860000,21.74760000,21.27620000,21.66890000,442153.02000000,9499992.79980800,16508
1611064800000,2021-01-19 14:00:00,LINK/USDT,21.60080000,21.94380000,21.57070000,21.64290000,374752.87000000,8145438.36316000,13721
1611061200000,2021-01-19 13:00:00,LINK/USDT,21.78000000,21.86940000,21.52580000,21.60080000,433691.66000000,9403380.95530600,16507
1611057600000,2021-01-19 12:00:00,LINK/USDT,22.16990000,22.23660000,21.39690000,21.78000000,647311.51000000,14193283.50755300,22580
1611054000000,2021-01-19 11:00:00,LINK/USDT,22.21120000,22.38200000,22.01500000,22.16090000,409263.52000000,9091567.17251200,15543
1611050400000,2021-01-19 10:00:00,LINK/USDT,22.18630000,22.47130000,22.00000000,22.21320000,387895.46000000,8616970.62590400,12840
1611046800000,2021-01-19 09:00:00,LINK/USDT,22.51880000,22.85640000,22.15720000,22.19500000,648564.96000000,14653689.10283000,20401
1611043200000,2021-01-19 08:00:00,LINK/USDT,21.95550000,22.56500000,21.87150000,22.51860000,902403.22000000,20078869.78393900,24123
1611039600000,2021-01-19 07:00:00,LINK/USDT,21.64760000,21.96660000,21.58330000,21.95520000,407871.65000000,8872824.62348000,12587
1611036000000,2021-01-19 06:00:00,LINK/USDT,21.47750000,21.68680000,21.25650000,21.63760000,458581.35000000,9861454.70068100,12460
1611032400000,2021-01-19 05:00:00,LINK/USDT,21.58250000,21.76970000,21.41060000,21.47640000,325733.95000000,7038479.98450200,9810
1611028800000,2021-01-19 04:00:00,LINK/USDT,21.68890000,21.84550000,21.54730000,21.58420000,262973.28000000,5712658.82808100,7554
1611025200000,2021-01-19 03:00:00,LINK/USDT,21.69360000,21.78570000,21.41930000,21.68890000,406179.18000000,8759072.01259600,11881
1611021600000,2021-01-19 02:00:00,LINK/USDT,21.54050000,21.90780000,21.40000000,21.69750000,530281.25000000,11507576.11587500,15009
1611018000000,2021-01-19 01:00:00,LINK/USDT,21.71350000,21.80010000,21.40000000,21.53600000,613432.97000000,13231852.34863100,17052
1611014400000,2021-01-19 00:00:00,LINK/USDT,22.03250000,22.17760000,21.61410000,21.71260000,432174.76000000,9457017.34611700,12708
1611010800000,2021-01-18 23:00:00,LINK/USDT,21.50010000,22.08630000,21.37430000,22.03360000,363526.34000000,7918323.28539400,10370
1611007200000,2021-01-18 22:00:00,LINK/USDT,21.77070000,21.77070000,21.44000000,21.50660000,280303.47000000,6052697.88587100,7359
1611003600000,2021-01-18 21:00:00,LINK/USDT,21.82280000,21.92440000,21.70430000,21.76580000,213970.88000000,4666016.63815500,6115
1611000000000,2021-01-18 20:00:00,LINK/USDT,21.84190000,22.08630000,21.78480000,21.81780000,342025.35000000,7502196.85385000,9862
1610996400000,2021-01-18 19:00:00,LINK/USDT,21.50950000,21.93000000,21.44810000,21.83990000,325134.63000000,7065775.96370700,9229
1610992800000,2021-01-18 18:00:00,LINK/USDT,21.40610000,21.52910000,21.28070000,21.51740000,251262.60000000,5382408.23232900,6897
1610989200000,2021-01-18 17:00:00,LINK/USDT,21.43670000,21.55100000,21.06000000,21.40800000,526516.64000000,11215426.77329900,14277
1610985600000,2021-01-18 16:00:00,LINK/USDT,21.64950000,22.17460000,21.40010000,21.43630000,750637.31000000,16347307.29604900,21565
1610982000000,2021-01-18 15:00:00,LINK/USDT,21.78540000,21.85000000,21.54530000,21.65920000,377521.06000000,8198194.77063700,38728
1610978400000,2021-01-18 14:00:00,LINK/USDT,21.46470000,21.81470000,21.33040000,21.78540000,765960.75000000,16535352.14329200,41771
1610974800000,2021-01-18 13:00:00,LINK/USDT,21.50720000,21.91470000,21.39360000,21.46470000,822785.44000000,17748473.01576900,42131
1610971200000,2021-01-18 12:00:00,LINK/USDT,21.95670000,22.18800000,21.47730000,21.51650000,862957.96000000,18852160.06107300,51206
1610967600000,2021-01-18 11:00:00,LINK/USDT,22.06260000,22.08490000,21.56940000,21.95590000,730542.54000000,15937045.67346000,21375
1610964000000,2021-01-18 10:00:00,LINK/USDT,22.34830000,22.34830000,21.96460000,22.07370000,408544.31000000,9037054.34254300,11642
1610960400000,2021-01-18 09:00:00,LINK/USDT,22.49800000,22.60370000,22.17900000,22.33460000,402649.03000000,9009590.99968200,10450
1610956800000,2021-01-18 08:00:00,LINK/USDT,22.52350000,22.86000000,22.23380000,22.48490000,564327.00000000,12740362.33251400,17279
1610953200000,2021-01-18 07:00:00,LINK/USDT,22.13050000,22.77790000,22.05020000,22.51660000,564215.74000000,12708983.88140600,17103
1610949600000,2021-01-18 06:00:00,LINK/USDT,22.55310000,22.57840000,22.11130000,22.13050000,427846.33000000,9555198.78807900,13375
1610946000000,2021-01-18 05:00:00,LINK/USDT,22.36060000,22.58310000,21.88070000,22.54610000,995907.74000000,22115678.58680200,22272
1610942400000,2021-01-18 04:00:00,LINK/USDT,22.05460000,22.50200000,21.99810000,22.37460000,530445.81000000,11806778.64274800,20683
1610938800000,2021-01-18 03:00:00,LINK/USDT,22.80370000,22.94440000,21.67780000,22.05290000,1224543.93000000,27204190.74820600,43109
1610935200000,2021-01-18 02:00:00,LINK/USDT,23.35670000,23.59000000,22.65240000,22.80360000,721876.15000000,16684491.25761000,21121
1610931600000,2021-01-18 01:00:00,LINK/USDT,23.29300000,23.68620000,23.08160000,23.35380000,547471.56000000,12780963.24727500,17196
1610928000000,2021-01-18 00:00:00,LINK/USDT,23.26760000,23.53940000,22.91740000,23.28460000,780970.46000000,18120723.83345300,26495
1610924400000,2021-01-17 23:00:00,LINK/USDT,22.67620000,23.76700000,22.66400000,23.28190000,1309637.41000000,30478033.27160900,69850
1610920800000,2021-01-17 22:00:00,LINK/USDT,23.33310000,23.35400000,22.49310000,22.66400000,933301.42000000,21409793.79883400,31228
1610917200000,2021-01-17 21:00:00,LINK/USDT,23.46970000,23.54000000,22.85670000,23.33570000,1070151.22000000,24772891.98907300,27339
1610913600000,2021-01-17 20:00:00,LINK/USDT,23.01170000,23.69000000,22.84000000,23.46970000,1707442.94000000,39789987.20615600,41678
1610910000000,2021-01-17 19:00:00,LINK/USDT,21.82910000,23.67610000,21.82910000,23.00760000,2151668.01000000,49215078.77483200,51505
1610906400000,2021-01-17 18:00:00,LINK/USDT,21.97580000,22.17840000,21.68630000,21.82900000,534782.95000000,11706686.71525300,18711
1610902800000,2021-01-17 17:00:00,LINK/USDT,21.69110000,21.99500000,21.33910000,21.97660000,603299.40000000,13052246.87690800,19588
1610899200000,2021-01-17 16:00:00,LINK/USDT,21.05480000,22.25830000,20.91050000,21.69640000,1849991.82000000,40314346.25849900,41964
1610895600000,2021-01-17 15:00:00,LINK/USDT,20.19190000,21.13480000,20.17790000,21.05480000,693990.06000000,14386277.66046900,20877
1610892000000,2021-01-17 14:00:00,LINK/USDT,20.28800000,20.32500000,19.92670000,20.18940000,586259.90000000,11789161.03718800,16282
