https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume LTC,Volume BTC,tradecount
1611187200000,2021-01-21 00:00:00,LTC/BTC,0.00422200,0.00422300,0.00421200,0.00421500,1171.72000000,4.94229536,220
1611183600000,2021-01-20 23:00:00,LTC/BTC,0.00424300,0.00424400,0.00419100,0.00422000,10036.59000000,42.26994866,2437
1611180000000,2021-01-20 22:00:00,LTC/BTC,0.00420400,0.00424400,0.00420400,0.00424200,10420.66000000,44.00864257,2378
1611176400000,2021-01-20 21:00:00,LTC/BTC,0.00419300,0.00420700,0.00418200,0.00420500,12116.42000000,50.85813070,2155
1611172800000,2021-01-20 20:00:00,LTC/BTC,0.00421700,0.00422500,0.00418500,0.00419200,11668.96000000,49.03811678,2549
1611169200000,2021-01-20 19:00:00,LTC/BTC,0.00416700,0.00423300,0.00416700,0.00421700,11770.07000000,49.53699710,2316
1611165600000,2021-01-20 18:00:00,LTC/BTC,0.00420200,0.00422100,0.00416600,0.00416600,7518.70000000,31.59815185,1977
1611162000000,2021-01-20 17:00:00,LTC/BTC,0.00421400,0.00421400,0.00416600,0.00420400,10681.91000000,44.71905754,2423
1611158400000,2021-01-20 16:00:00,LTC/BTC,0.00413000,0.00424700,0.00409400,0.00421100,38018.45000000,159.12825161,7824
1611154800000,2021-01-20 15:00:00,LTC/BTC,0.00412600,0.00416800,0.00410600,0.00413100,22017.50000000,90.99473791,4232
1611151200000,2021-01-20 14:00:00,LTC/BTC,0.00418600,0.00419700,0.00412400,0.00412700,26305.36000000,109.40623525,4120
1611147600000,2021-01-20 13:00:00,LTC/BTC,0.00415400,0.00419700,0.00413000,0.00418600,16955.43000000,70.59728094,3508
1611144000000,2021-01-20 12:00:00,LTC/BTC,0.00414500,0.00416900,0.00411300,0.00415300,19974.54000000,82.83655277,3979
1611140400000,2021-01-20 11:00:00,LTC/BTC,0.00422300,0.00423000,0.00410700,0.00414500,41404.17000000,172.12065541,8728
1611136800000,2021-01-20 10:00:00,LTC/BTC,0.00422000,0.00423500,0.00418600,0.00422200,16606.56000000,69.97563616,4029
1611133200000,2021-01-20 09:00:00,LTC/BTC,0.00423100,0.00423800,0.00419600,0.00422000,17683.18000000,74.63137889,4208
1611129600000,2021-01-20 08:00:00,LTC/BTC,0.00424600,0.00426700,0.00421500,0.00423000,26641.45000000,112.75073725,4394
1611126000000,2021-01-20 07:00:00,LTC/BTC,0.00425400,0.00430400,0.00424300,0.00424400,15638.17000000,66.87269242,3575
1611122400000,2021-01-20 06:00:00,LTC/BTC,0.00425800,0.00428500,0.00424600,0.00425300,9999.83000000,42.64481806,2112
1611118800000,2021-01-20 05:00:00,LTC/BTC,0.00426100,0.00427300,0.00423700,0.00425700,9392.62000000,40.02893447,1986
1611115200000,2021-01-20 04:00:00,LTC/BTC,0.00423000,0.00427300,0.00421700,0.00426000,21503.69000000,91.46672218,4759
1611111600000,2021-01-20 03:00:00,LTC/BTC,0.00427800,0.00428000,0.00422100,0.00423000,27547.83000000,116.94011286,5266
1611108000000,2021-01-20 02:00:00,LTC/BTC,0.00423700,0.00429000,0.00421600,0.00427800,13003.67000000,55.26121508,3449
1611104400000,2021-01-20 01:00:00,LTC/BTC,0.00429300,0.00429300,0.00421600,0.00423600,16859.00000000,71.57107277,3878
1611100800000,2021-01-20 00:00:00,LTC/BTC,0.00423000,0.00429500,0.00422100,0.00429200,17055.01000000,72.85351576,4877
1611097200000,2021-01-19 23:00:00,LTC/BTC,0.00432600,0.00433000,0.00422000,0.00423100,27014.81000000,115.58201078,6135
1611093600000,2021-01-19 22:00:00,LTC/BTC,0.00435000,0.00436300,0.00431800,0.00432600,7104.95000000,30.84234534,2562
1611090000000,2021-01-19 21:00:00,LTC/BTC,0.00434700,0.00436100,0.00432800,0.00435000,11429.74000000,49.68912238,2875
1611086400000,2021-01-19 20:00:00,LTC/BTC,0.00432000,0.00434900,0.00431300,0.00434700,12146.29000000,52.62516669,3392
1611082800000,2021-01-19 19:00:00,LTC/BTC,0.00428100,0.00432600,0.00427600,0.00432000,15795.70000000,68.01964346,3856
1611079200000,2021-01-19 18:00:00,LTC/BTC,0.00431700,0.00432000,0.00425700,0.00428100,24842.49000000,106.42767253,5441
1611075600000,2021-01-19 17:00:00,LTC/BTC,0.00427500,0.00438100,0.00427200,0.00431700,21786.97000000,94.40422396,4689
1611072000000,2021-01-19 16:00:00,LTC/BTC,0.00433300,0.00435500,0.00426000,0.00427500,26011.82000000,112.08747955,5775
1611068400000,2021-01-19 15:00:00,LTC/BTC,0.00432100,0.00433400,0.00428500,0.00433300,18658.85000000,80.32035804,3654
1611064800000,2021-01-19 14:00:00,LTC/BTC,0.00437400,0.00439700,0.00429500,0.00432100,24821.23000000,107.77573925,4977
1611061200000,2021-01-19 13:00:00,LTC/BTC,0.00431900,0.00438000,0.00431900,0.00437300,18423.00000000,80.25816617,3923
1611057600000,2021-01-19 12:00:00,LTC/BTC,0.00440800,0.00441000,0.00428800,0.00431900,35914.88000000,155.76328458,7172
1611054000000,2021-01-19 11:00:00,LTC/BTC,0.00434100,0.00442300,0.00434100,0.00440800,20882.33000000,91.60796781,5132
1611050400000,2021-01-19 10:00:00,LTC/BTC,0.00435500,0.00438100,0.00431900,0.00434300,26352.94000000,114.55234511,4754
1611046800000,2021-01-19 09:00:00,LTC/BTC,0.00438500,0.00438500,0.00434100,0.00435500,13278.04000000,57.95161403,3402
1611043200000,2021-01-19 08:00:00,LTC/BTC,0.00442000,0.00443600,0.00436900,0.00438600,23982.46000000,105.55915078,4963
1611039600000,2021-01-19 07:00:00,LTC/BTC,0.00433900,0.00446900,0.00431900,0.00441600,31637.85000000,139.34900757,6945
1611036000000,2021-01-19 06:00:00,LTC/BTC,0.00434600,0.00436900,0.00432700,0.00433900,12879.06000000,55.96847989,2498
1611032400000,2021-01-19 05:00:00,LTC/BTC,0.00431100,0.00436700,0.00431100,0.00434700,16041.63000000,69.57080928,3113
1611028800000,2021-01-19 04:00:00,LTC/BTC,0.00434700,0.00439900,0.00430200,0.00431100,19086.13000000,82.99429265,4248
1611025200000,2021-01-19 03:00:00,LTC/BTC,0.00431400,0.00438400,0.00429000,0.00434700,28973.78000000,125.79192329,5734
1611021600000,2021-01-19 02:00:00,LTC/BTC,0.00421600,0.00432700,0.00421600,0.00431300,27236.19000000,115.97158903,5110
1611018000000,2021-01-19 01:00:00,LTC/BTC,0.00412200,0.00426400,0.00411300,0.00421500,37698.74000000,158.99204855,8072
1611014400000,2021-01-19 00:00:00,LTC/BTC,0.00414900,0.00415700,0.00411000,0.00412000,11199.32000000,46.21291301,1960
1611010800000,2021-01-18 23:00:00,LTC/BTC,0.00409100,0.00416600,0.00408900,0.00415100,12264.12000000,50.68780594,2795
1611007200000,2021-01-18 22:00:00,LTC/BTC,0.00411400,0.00412500,0.00408800,0.00409000,5194.01000000,21.31251766,1381
1611003600000,2021-01-18 21:00:00,LTC/BTC,0.00411400,0.00413000,0.00410700,0.00411400,5331.71000000,21.95544680,1165
1611000000000,2021-01-18 20:00:00,LTC/BTC,0.00411800,0.00414100,0.00410100,0.00411300,7908.70000000,32.55796434,1592
1610996400000,2021-01-18 19:00:00,LTC/BTC,0.00414700,0.00414800,0.00411400,0.00411800,7752.93000000,32.00764453,1415
1610992800000,2021-01-18 18:00:00,LTC/BTC,0.00412600,0.00415300,0.00412500,0.00414700,7931.56000000,32.88219218,1835
1610989200000,2021-01-18 17:00:00,LTC/BTC,0.00409500,0.00413100,0.00408100,0.00412600,15334.70000000,63.01697188,2815
1610985600000,2021-01-18 16:00:00,LTC/BTC,0.00415600,0.00418500,0.00409200,0.00409400,13824.76000000,57.15319117,3328
1610982000000,2021-01-18 15:00:00,LTC/BTC,0.00410700,0.00415500,0.00408600,0.00415500,11958.64000000,49.14685150,2809
1610978400000,2021-01-18 14:00:00,LTC/BTC,0.00411700,0.00417000,0.00407900,0.00410500,38391.93000000,157.67209631,5761
1610974800000,2021-01-18 13:00:00,LTC/BTC,0.00417900,0.00419100,0.00409800,0.00411600,45821.19000000,189.67366652,7246
1610971200000,2021-01-18 12:00:00,LTC/BTC,0.00389500,0.00419200,0.00388100,0.00418200,75431.06000000,306.01883940,14979
1610967600000,2021-01-18 11:00:00,LTC/BTC,0.00389800,0.00391600,0.00388800,0.00389500,12243.08000000,47.76920345,2291
1610964000000,2021-01-18 10:00:00,LTC/BTC,0.00389700,0.00390900,0.00388000,0.00389900,11781.44000000,45.88173169,2569
1610960400000,2021-01-18 09:00:00,LTC/BTC,0.00394300,0.00394500,0.00389400,0.00389800,16125.16000000,63.09930335,2883
1610956800000,2021-01-18 08:00:00,LTC/BTC,0.00395300,0.00396000,0.00392900,0.00394200,7891.99000000,31.09074585,1616
1610953200000,2021-01-18 07:00:00,LTC/BTC,0.00396800,0.00396900,0.00393200,0.00395200,13384.84000000,52.88526940,2992
1610949600000,2021-01-18 06:00:00,LTC/BTC,0.00397700,0.00398000,0.00396000,0.00397000,7053.67000000,28.01856088,1684
1610946000000,2021-01-18 05:00:00,LTC/BTC,0.00397500,0.00398700,0.00396000,0.00397500,9857.08000000,39.18289428,1875
1610942400000,2021-01-18 04:00:00,LTC/BTC,0.00397500,0.00399200,0.00396500,0.00397400,7465.66000000,29.70698849,1497
1610938800000,2021-01-18 03:00:00,LTC/BTC,0.00395100,0.00398800,0.00394300,0.00397500,17663.19000000,69.98154230,3231
1610935200000,2021-01-18 02:00:00,LTC/BTC,0.00399300,0.00400200,0.00394600,0.00395000,11029.48000000,43.89988497,2447
1610931600000,2021-01-18 01:00:00,LTC/BTC,0.00399000,0.00401400,0.00398700,0.00399500,12718.48000000,50.86628856,2746
1610928000000,2021-01-18 00:00:00,LTC/BTC,0.00398600,0.00400000,0.00397900,0.00399100,12784.82000000,51.03594843,2036
1610924400000,2021-01-17 23:00:00,LTC/BTC,0.00397000,0.00398700,0.00396200,0.00398500,15003.19000000,59.61719581,2419
1610920800000,2021-01-17 22:00:00,LTC/BTC,0.00397700,0.00397800,0.00394400,0.00396900,17198.02000000,68.08475021,2419
1610917200000,2021-01-17 21:00:00,LTC/BTC,0.00397900,0.00398400,0.00394900,0.00398100,15665.39000000,62.14765484,2702
1610913600000,2021-01-17 20:00:00,LTC/BTC,0.00398000,0.00400200,0.00396800,0.00397900,11033.18000000,43.99670468,1990
1610910000000,2021-01-17 19:00:00,LTC/BTC,0.00399600,0.00400400,0.00397400,0.00397800,10319.22000000,41.12117793,1942
1610906400000,2021-01-17 18:00:00,LTC/BTC,0.00400500,0.00401300,0.00398700,0.00399600,11855.06000000,47.42649307,2091
1610902800000,2021-01-17 17:00:00,LTC/BTC,0.00398700,0.00400700,0.00397200,0.00400500,12047.75000000,48.07927309,3113
1610899200000,2021-01-17 16:00:00,LTC/BTC,0.00398400,0.00399600,0.00394900,0.00398700,21860.36000000,86.87386255,4581
1610895600000,2021-01-17 15:00:00,LTC/BTC,0.00401900,0.00402800,0.00397900,0.00398000,23345.32000000,93.28651727,3571
1610892000000,2021-01-17 14:00:00,LTC/BTC,0.00400600,0.00402000,0.00399700,0.00401900,12219.23000000,48.97886094,2501
1610888400000,2021-01-17 13:00:00,LTC/BTC,0.00402200,0.00402500,0.00397700,0.00400500,16744.29000000,67.00471292,3166
1610884800000,2021-01-17 12:00:00,LTC/BTC,0.00403000,0.00404100,0.00401200,0.00402200,16438.50000000,66.14370370,2879
1610881200000,2021-01-17 11:00:00,LTC/BTC,0.00405900,0.00407300,0.00402200,0.00403000,14314.11000000,57.90886667,3080
1610877600000,2021-01-17 10:00:00,LTC/BTC,0.00402600,0.00410200,0.00402000,0.00405900,36356.50000000,147.67749172,6525
1610874000000,2021-01-17 09:00:00,LTC/BTC,0.00401400,0.00403900,0.00399600,0.00402700,19828.02000000,79.61774611,3933
1610870400000,2021-01-17 08:00:00,LTC/BTC,0.00400000,0.00404000,0.00398900,0.00401400,21298.81000000,85.64201110,4583
1610866800000,2021-01-17 07:00:00,LTC/BTC,0.00399800,0.00402400,0.00398000,0.00399900,21808.54000000,87.28906368,4423
1610863200000,2021-01-17 06:00:00,LTC/BTC,0.00398100,0.00400400,0.00397100,0.00399700,16565.14000000,66.13242945,3061
1610859600000,2021-01-17 05:00:00,LTC/BTC,0.00396900,0.00399300,0.00396100,0.00398200,13127.06000000,52.23079517,2596
1610856000000,2021-01-17 04:00:00,LTC/BTC,0.00397800,0.00399200,0.00395600,0.00396800,24607.65000000,97.78823671,4040
1610852400000,2021-01-17 03:00:00,LTC/BTC,0.00398800,0.00399000,0.00397600,0.00397900,10055.95000000,40.04580441,2023
1610848800000,2021-01-17 02:00:00,LTC/BTC,0.00400000,0.00401000,0.00398200,0.00398900,10333.95000000,41.29432666,2044
1610845200000,2021-01-17 01:00:00,LTC/BTC,0.00399200,0.00400500,0.00398600,0.00400100,11204.24000000,44.78426107,2063
1610841600000,2021-01-17 00:00:00,LTC/BTC,0.00398700,0.00402200,0.00397000,0.00399100,17527.03000000,69.97808418,3630
1610838000000,2021-01-16 23:00:00,LTC/BTC,0.00400200,0.00400700,0.00396100,0.00398800,12639.94000000,50.34671864,2500
