https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume NEO,Volume BTC,tradecount
1611187200000,2021-01-21 00:00:00,NEO/BTC,0.00073500,0.00073800,0.00073300,0.00073400,562.79000000,0.41374794,51
1611183600000,2021-01-20 23:00:00,NEO/BTC,0.00073700,0.00073800,0.00072500,0.00073400,10926.88000000,7.99071790,752
1611180000000,2021-01-20 22:00:00,NEO/BTC,0.00074200,0.00074200,0.00073500,0.00073700,7288.35000000,5.38076947,410
1611176400000,2021-01-20 21:00:00,NEO/BTC,0.00073100,0.00074200,0.00072900,0.00074200,9465.16000000,6.95886485,612
1611172800000,2021-01-20 20:00:00,NEO/BTC,0.00073400,0.00073800,0.00073100,0.00073100,10571.75000000,7.75441015,567
1611169200000,2021-01-20 19:00:00,NEO/BTC,0.00072500,0.00073500,0.00072400,0.00073500,9338.37000000,6.81422418,609
1611165600000,2021-01-20 18:00:00,NEO/BTC,0.00073100,0.00073500,0.00072100,0.00072600,7081.45000000,5.15609389,612
1611162000000,2021-01-20 17:00:00,NEO/BTC,0.00072400,0.00073500,0.00072000,0.00073300,6689.79000000,4.85758091,542
1611158400000,2021-01-20 16:00:00,NEO/BTC,0.00071900,0.00073000,0.00071600,0.00072400,18334.75000000,13.26798588,901
1611154800000,2021-01-20 15:00:00,NEO/BTC,0.00071900,0.00072500,0.00071500,0.00071900,10678.62000000,7.69387206,632
1611151200000,2021-01-20 14:00:00,NEO/BTC,0.00071300,0.00072600,0.00070900,0.00072100,25863.08000000,18.58956849,1228
1611147600000,2021-01-20 13:00:00,NEO/BTC,0.00071200,0.00071600,0.00070100,0.00071300,14809.56000000,10.49590781,785
1611144000000,2021-01-20 12:00:00,NEO/BTC,0.00070400,0.00071400,0.00069500,0.00071300,16305.48000000,11.46997938,1157
1611140400000,2021-01-20 11:00:00,NEO/BTC,0.00071000,0.00071500,0.00070200,0.00070400,20623.05000000,14.60012961,1002
1611136800000,2021-01-20 10:00:00,NEO/BTC,0.00071400,0.00071600,0.00070300,0.00070900,18161.57000000,12.84967852,1163
1611133200000,2021-01-20 09:00:00,NEO/BTC,0.00072700,0.00072900,0.00071400,0.00071500,12515.71000000,9.00396111,802
1611129600000,2021-01-20 08:00:00,NEO/BTC,0.00073100,0.00073400,0.00072500,0.00072700,6566.91000000,4.78952482,511
1611126000000,2021-01-20 07:00:00,NEO/BTC,0.00071900,0.00073600,0.00071800,0.00073100,9479.34000000,6.90963713,652
1611122400000,2021-01-20 06:00:00,NEO/BTC,0.00072700,0.00073100,0.00071800,0.00072000,9427.64000000,6.82527926,552
1611118800000,2021-01-20 05:00:00,NEO/BTC,0.00072300,0.00072900,0.00071900,0.00072700,9894.69000000,7.16042015,590
1611115200000,2021-01-20 04:00:00,NEO/BTC,0.00072000,0.00072300,0.00070700,0.00072100,19805.28000000,14.16276421,1194
1611111600000,2021-01-20 03:00:00,NEO/BTC,0.00072900,0.00073400,0.00071800,0.00072000,11183.38000000,8.11967313,687
1611108000000,2021-01-20 02:00:00,NEO/BTC,0.00072900,0.00073100,0.00072000,0.00073000,8660.96000000,6.27788424,546
1611104400000,2021-01-20 01:00:00,NEO/BTC,0.00073300,0.00073600,0.00072500,0.00073000,4769.51000000,3.48849571,427
1611100800000,2021-01-20 00:00:00,NEO/BTC,0.00073300,0.00073900,0.00072000,0.00073400,23446.96000000,17.08009814,1190
1611097200000,2021-01-19 23:00:00,NEO/BTC,0.00073300,0.00073700,0.00073100,0.00073300,8993.87000000,6.59474781,500
1611093600000,2021-01-19 22:00:00,NEO/BTC,0.00074100,0.00074100,0.00073200,0.00073300,6215.16000000,4.57405813,532
1611090000000,2021-01-19 21:00:00,NEO/BTC,0.00074000,0.00074400,0.00073600,0.00074100,14082.65000000,10.42958966,752
1611086400000,2021-01-19 20:00:00,NEO/BTC,0.00073500,0.00074100,0.00073100,0.00074000,11825.63000000,8.71163737,726
1611082800000,2021-01-19 19:00:00,NEO/BTC,0.00072200,0.00074200,0.00072000,0.00073700,35313.62000000,25.81546194,1636
1611079200000,2021-01-19 18:00:00,NEO/BTC,0.00074400,0.00074500,0.00072200,0.00072400,37715.39000000,27.59299483,1555
1611075600000,2021-01-19 17:00:00,NEO/BTC,0.00074000,0.00074400,0.00073400,0.00074300,10082.66000000,7.46072213,668
1611072000000,2021-01-19 16:00:00,NEO/BTC,0.00073700,0.00074600,0.00072600,0.00074000,33300.54000000,24.53428325,1475
1611068400000,2021-01-19 15:00:00,NEO/BTC,0.00075600,0.00075700,0.00073600,0.00073600,38230.20000000,28.56668552,1360
1611064800000,2021-01-19 14:00:00,NEO/BTC,0.00076300,0.00077700,0.00075100,0.00075600,96503.06000000,73.60400813,3223
1611061200000,2021-01-19 13:00:00,NEO/BTC,0.00072800,0.00076300,0.00072500,0.00076200,51031.57000000,37.95334077,1939
1611057600000,2021-01-19 12:00:00,NEO/BTC,0.00071800,0.00072900,0.00070600,0.00072600,24788.87000000,17.82263065,1445
1611054000000,2021-01-19 11:00:00,NEO/BTC,0.00072800,0.00073300,0.00071800,0.00071800,18926.89000000,13.73392772,931
1611050400000,2021-01-19 10:00:00,NEO/BTC,0.00073100,0.00073400,0.00072500,0.00072900,16507.30000000,12.02191864,841
1611046800000,2021-01-19 09:00:00,NEO/BTC,0.00072300,0.00073600,0.00071900,0.00073100,16616.98000000,12.08437013,938
1611043200000,2021-01-19 08:00:00,NEO/BTC,0.00072400,0.00073400,0.00072000,0.00072300,16327.74000000,11.85117742,963
1611039600000,2021-01-19 07:00:00,NEO/BTC,0.00073800,0.00074400,0.00072200,0.00072500,25987.00000000,19.10680161,1260
1611036000000,2021-01-19 06:00:00,NEO/BTC,0.00073300,0.00074200,0.00072900,0.00073900,10896.16000000,7.99898462,825
1611032400000,2021-01-19 05:00:00,NEO/BTC,0.00073700,0.00074500,0.00073200,0.00073300,12148.74000000,8.96265190,803
1611028800000,2021-01-19 04:00:00,NEO/BTC,0.00074500,0.00075200,0.00073500,0.00073800,11661.78000000,8.65966827,821
1611025200000,2021-01-19 03:00:00,NEO/BTC,0.00074400,0.00075400,0.00073700,0.00074400,16389.76000000,12.21699864,957
1611021600000,2021-01-19 02:00:00,NEO/BTC,0.00073000,0.00075700,0.00072700,0.00074500,28303.33000000,20.98043704,1377
1611018000000,2021-01-19 01:00:00,NEO/BTC,0.00075300,0.00075400,0.00072200,0.00073100,23856.20000000,17.59293292,1289
1611014400000,2021-01-19 00:00:00,NEO/BTC,0.00074000,0.00076600,0.00072400,0.00075200,48884.12000000,36.31937649,2410
1611010800000,2021-01-18 23:00:00,NEO/BTC,0.00074400,0.00075300,0.00073700,0.00074000,21334.20000000,15.88787332,964
1611007200000,2021-01-18 22:00:00,NEO/BTC,0.00076400,0.00077100,0.00074100,0.00074400,32336.16000000,24.27098453,1698
1611003600000,2021-01-18 21:00:00,NEO/BTC,0.00077400,0.00077700,0.00076300,0.00076400,19693.59000000,15.13755443,949
1611000000000,2021-01-18 20:00:00,NEO/BTC,0.00077400,0.00078000,0.00075600,0.00077400,26029.32000000,19.98068656,1448
1610996400000,2021-01-18 19:00:00,NEO/BTC,0.00078100,0.00079200,0.00076300,0.00077400,49323.03000000,38.45584439,2422
1610992800000,2021-01-18 18:00:00,NEO/BTC,0.00076100,0.00078500,0.00075600,0.00078100,62615.39000000,48.60854489,2950
1610989200000,2021-01-18 17:00:00,NEO/BTC,0.00074100,0.00076800,0.00073900,0.00076000,60092.38000000,45.33261761,2381
1610985600000,2021-01-18 16:00:00,NEO/BTC,0.00074100,0.00074600,0.00073500,0.00073900,27935.61000000,20.65610791,1110
1610982000000,2021-01-18 15:00:00,NEO/BTC,0.00074900,0.00075100,0.00073400,0.00073900,23704.80000000,17.54975425,1220
1610978400000,2021-01-18 14:00:00,NEO/BTC,0.00075000,0.00075100,0.00073600,0.00075100,26584.23000000,19.72431145,1288
1610974800000,2021-01-18 13:00:00,NEO/BTC,0.00071200,0.00075800,0.00071200,0.00075000,92906.78000000,68.73242872,3352
1610971200000,2021-01-18 12:00:00,NEO/BTC,0.00074800,0.00075000,0.00069100,0.00071100,135030.85000000,96.91010050,4864
1610967600000,2021-01-18 11:00:00,NEO/BTC,0.00071800,0.00076800,0.00070600,0.00074700,146157.08000000,108.88442447,5636
1610964000000,2021-01-18 10:00:00,NEO/BTC,0.00067500,0.00072900,0.00067500,0.00071800,91764.90000000,64.73266598,3831
1610960400000,2021-01-18 09:00:00,NEO/BTC,0.00067700,0.00067700,0.00066800,0.00067600,8677.44000000,5.84491106,590
1610956800000,2021-01-18 08:00:00,NEO/BTC,0.00067000,0.00067800,0.00066800,0.00067700,10697.72000000,7.20649323,672
1610953200000,2021-01-18 07:00:00,NEO/BTC,0.00068200,0.00069300,0.00066800,0.00067000,26173.28000000,17.85311442,1345
1610949600000,2021-01-18 06:00:00,NEO/BTC,0.00067500,0.00068100,0.00067400,0.00068100,8011.15000000,5.43211196,438
1610946000000,2021-01-18 05:00:00,NEO/BTC,0.00066600,0.00067700,0.00066600,0.00067600,8257.88000000,5.56239294,489
1610942400000,2021-01-18 04:00:00,NEO/BTC,0.00066100,0.00066800,0.00066100,0.00066500,2470.23000000,1.64352604,241
1610938800000,2021-01-18 03:00:00,NEO/BTC,0.00065900,0.00066400,0.00065500,0.00066000,7473.70000000,4.93636470,433
1610935200000,2021-01-18 02:00:00,NEO/BTC,0.00066100,0.00066600,0.00065800,0.00065900,7025.74000000,4.65384047,343
1610931600000,2021-01-18 01:00:00,NEO/BTC,0.00066500,0.00066700,0.00065700,0.00066100,6947.94000000,4.59669378,545
1610928000000,2021-01-18 00:00:00,NEO/BTC,0.00066500,0.00067300,0.00066100,0.00066600,12915.93000000,8.59782363,557
1610924400000,2021-01-17 23:00:00,NEO/BTC,0.00067000,0.00068300,0.00066300,0.00066500,32599.45000000,22.00992367,1281
1610920800000,2021-01-17 22:00:00,NEO/BTC,0.00065500,0.00069800,0.00064800,0.00067000,78979.41000000,52.63011939,3802
1610917200000,2021-01-17 21:00:00,NEO/BTC,0.00065000,0.00065700,0.00063600,0.00065500,18798.99000000,12.09184795,958
1610913600000,2021-01-17 20:00:00,NEO/BTC,0.00064900,0.00065400,0.00064800,0.00065000,15700.62000000,10.22806087,647
1610910000000,2021-01-17 19:00:00,NEO/BTC,0.00065300,0.00065400,0.00064700,0.00065000,7325.83000000,4.76426436,585
1610906400000,2021-01-17 18:00:00,NEO/BTC,0.00064900,0.00065400,0.00064800,0.00065200,8387.64000000,5.46850338,439
1610902800000,2021-01-17 17:00:00,NEO/BTC,0.00064700,0.00065100,0.00064400,0.00064800,6191.39000000,4.00822768,330
1610899200000,2021-01-17 16:00:00,NEO/BTC,0.00064500,0.00065100,0.00064400,0.00064500,11307.36000000,7.32966016,605
1610895600000,2021-01-17 15:00:00,NEO/BTC,0.00065200,0.00065600,0.00064000,0.00064400,21376.53000000,13.82377731,955
1610892000000,2021-01-17 14:00:00,NEO/BTC,0.00064900,0.00065200,0.00064700,0.00065200,17035.38000000,11.06104728,534
1610888400000,2021-01-17 13:00:00,NEO/BTC,0.00064900,0.00065300,0.00064700,0.00064700,9803.31000000,6.37027706,439
1610884800000,2021-01-17 12:00:00,NEO/BTC,0.00065300,0.00065700,0.00064700,0.00064900,12556.44000000,8.16144559,551
1610881200000,2021-01-17 11:00:00,NEO/BTC,0.00065700,0.00065900,0.00065400,0.00065400,17007.56000000,11.17532445,566
1610877600000,2021-01-17 10:00:00,NEO/BTC,0.00065700,0.00066000,0.00065300,0.00065700,9877.98000000,6.48385772,568
1610874000000,2021-01-17 09:00:00,NEO/BTC,0.00065400,0.00066000,0.00065300,0.00065700,7879.73000000,5.16969494,473
1610870400000,2021-01-17 08:00:00,NEO/BTC,0.00065000,0.00065800,0.00064400,0.00065500,12342.05000000,8.05277226,641
1610866800000,2021-01-17 07:00:00,NEO/BTC,0.00065100,0.00065300,0.00064400,0.00064900,8103.24000000,5.25538975,448
1610863200000,2021-01-17 06:00:00,NEO/BTC,0.00064700,0.00065100,0.00064400,0.00065100,9942.05000000,6.43472701,422
1610859600000,2021-01-17 05:00:00,NEO/BTC,0.00065000,0.00065300,0.00064400,0.00064700,9998.71000000,6.46741544,475
1610856000000,2021-01-17 04:00:00,NEO/BTC,0.00065400,0.00065900,0.00064800,0.00065000,8072.89000000,5.26564404,443
1610852400000,2021-01-17 03:00:00,NEO/BTC,0.00064900,0.00065400,0.00064600,0.00065400,5169.87000000,3.35402798,280
1610848800000,2021-01-17 02:00:00,NEO/BTC,0.00065200,0.00065500,0.00064800,0.00064800,9251.35000000,6.03014245,456
1610845200000,2021-01-17 01:00:00,NEO/BTC,0.00065400,0.00065800,0.00064900,0.00065300,8780.94000000,5.73759866,460
1610841600000,2021-01-17 00:00:00,NEO/BTC,0.00065500,0.00065700,0.00065000,0.00065400,9087.04000000,5.93768125,463
1610838000000,2021-01-16 23:00:00,NEO/BTC,0.00065900,0.00065900,0.00065000,0.00065500,7775.70000000,5.08473590,464
1610834400000,2021-01-16 22:00:00,NEO/BTC,0.00065800,0.00066100,0.00064800,0.00065900,14333.37000000,9.40629114,723
1610830800000,2021-01-16 21:00:00,NEO/BTC,0.00066000,0.00066000,0.00065100,0.00065700,12223.62000000,8.00766268,698
1610827200000,2021-01-16 20:00:00,NEO/BTC,0.00066000,0.00066400,0.00065600,0.00065800,14482.21000000,9.56838146,657
1610823600000,2021-01-16 19:00:00,NEO/BTC,0.00064900,0.00066300,0.00064600,0.00066000,19375.23000000,12.70777360,965
1610820000000,2021-01-16 18:00:00,NEO/BTC,0.00065200,0.00065200,0.00064300,0.00064600,7231.57000000,4.68568314,464
1610816400000,2021-01-16 17:00:00,NEO/BTC,0.00064900,0.00065500,0.00064700,0.00065200,12889.23000000,8.38615977,559
1610812800000,2021-01-16 16:00:00,NEO/BTC,0.00064800,0.00065200,0.00064200,0.00064800,16447.01000000,10.65077766,872
1610809200000,2021-01-16 15:00:00,NEO/BTC,0.00064500,0.00065400,0.00064500,0.00064800,15902.52000000,10.33128926,835
1610805600000,2021-01-16 14:00:00,NEO/BTC,0.00064200,0.00064800,0.00063700,0.00064700,18799.42000000,12.06243917,767
1610802000000,2021-01-16 13:00:00,NEO/BTC,0.00064200,0.00064400,0.00063600,0.00064200,15527.22000000,9.93888235,607
1610798400000,2021-01-16 12:00:00,NEO/BTC,0.00064300,0.00064600,0.00063400,0.00064100,19735.23000000,12.64928201,1036
1610794800000,2021-01-16 11:00:00,NEO/BTC,0.00064400,0.00064700,0.00064100,0.00064300,9635.05000000,6.20239631,525
1610791200000,2021-01-16 10:00:00,NEO/BTC,0.00064500,0.00064600,0.00063800,0.00064300,10625.93000000,6.82104161,704
1610787600000,2021-01-16 09:00:00,NEO/BTC,0.00065200,0.00065300,0.00064300,0.00064500,9767.37000000,6.31276950,688
1610784000000,2021-01-16 08:00:00,NEO/BTC,0.00065000,0.00065900,0.00064400,0.00065400,11558.27000000,7.54225922,900
1610780400000,2021-01-16 07:00:00,NEO/BTC,0.00064700,0.00065300,0.00064000,0.00065000,10694.89000000,6.89919010,529
1610776800000,2021-01-16 06:00:00,NEO/BTC,0.00064700,0.00065100,0.00064400,0.00064700,5486.84000000,3.55128213,352
1610773200000,2021-01-16 05:00:00,NEO/BTC,0.00064500,0.00064800,0.00064100,0.00064600,6100.75000000,3.92523464,441
1610769600000,2021-01-16 04:00:00,NEO/BTC,0.00065000,0.00065300,0.00064400,0.00064400,2612.77000000,1.69570633,363
1610766000000,2021-01-16 03:00:00,NEO/BTC,0.00063700,0.00065200,0.00063700,0.00065000,11948.06000000,7.70415356,720
1610762400000,2021-01-16 02:00:00,NEO/BTC,0.00063300,0.00064000,0.00063300,0.00063700,5663.65000000,3.60196722,413
1610758800000,2021-01-16 01:00:00,NEO/BTC,0.00064100,0.00064200,0.00063200,0.00063300,8597.22000000,5.46874327,534
1610755200000,2021-01-16 00:00:00,NEO/BTC,0.00063800,0.00064100,0.00063200,0.00064100,11959.65000000,7.60411057,558
1610751600000,2021-01-15 23:00:00,NEO/BTC,0.00063700,0.00064400,0.00063400,0.00063800,7737.67000000,4.93997545,575
1610748000000,2021-01-15 22:00:00,NEO/BTC,0.00063700,0.00063800,0.00063200,0.00063600,10664.56000000,6.77736861,625
1610744400000,2021-01-15 21:00:00,NEO/BTC,0.00064500,0.00064500,0.00063700,0.00063700,6094.34000000,3.90463690,470
1610740800000,2021-01-15 20:00:00,NEO/BTC,0.00064700,0.00064900,0.00064200,0.00064500,14756.93000000,9.53425067,615
1610737200000,2021-01-15 19:00:00,NEO/BTC,0.00064400,0.00064800,0.00064000,0.00064600,11261.89000000,7.25898472,664
1610733600000,2021-01-15 18:00:00,NEO/BTC,0.00063400,0.00065000,0.00063300,0.00064300,17386.34000000,11.18744071,906
1610730000000,2021-01-15 17:00:00,NEO/BTC,0.00064200,0.00064400,0.00063300,0.00063300,14850.58000000,9.48840318,1010
1610726400000,2021-01-15 16:00:00,NEO/BTC,0.00063900,0.00064500,0.00062400,0.00064100,40360.19000000,25.67986212,1973
1610722800000,2021-01-15 15:00:00,NEO/BTC,0.00065200,0.00065500,0.00063700,0.00064100,33716.84000000,21.76749471,1347
1610719200000,2021-01-15 14:00:00,NEO/BTC,0.00065700,0.00066000,0.00064500,0.00065200,23676.52000000,15.42620683,1037
1610715600000,2021-01-15 13:00:00,NEO/BTC,0.00063700,0.00067100,0.00063500,0.00065700,34133.31000000,22.34537790,1520
1610712000000,2021-01-15 12:00:00,NEO/BTC,0.00064100,0.00064700,0.00063100,0.00063700,19806.48000000,12.65547748,857
1610708400000,2021-01-15 11:00:00,NEO/BTC,0.00064500,0.00064600,0.00063300,0.00064000,22054.18000000,14.11045842,955
1610704800000,2021-01-15 10:00:00,NEO/BTC,0.00064300,0.00065700,0.00063500,0.00064400,42436.64000000,27.44606865,1691
1610701200000,2021-01-15 09:00:00,NEO/BTC,0.00061100,0.00065900,0.00060700,0.00064400,96522.37000000,61.61887737,3634
1610697600000,2021-01-15 08:00:00,NEO/BTC,0.00060500,0.00061500,0.00060200,0.00061200,12489.56000000,7.58878324,641
1610694000000,2021-01-15 07:00:00,NEO/BTC,0.00060100,0.00061000,0.00060000,0.00060500,13528.55000000,8.19323930,523
1610690400000,2021-01-15 06:00:00,NEO/BTC,0.00060200,0.00060700,0.00059900,0.00060100,7008.82000000,4.22076829,321
1610686800000,2021-01-15 05:00:00,NEO/BTC,0.00059800,0.00061500,0.00059800,0.00060200,18843.62000000,11.41537229,807
1610683200000,2021-01-15 04:00:00,NEO/BTC,0.00059600,0.00059800,0.00059200,0.00059700,4403.01000000,2.61937565,239
1610679600000,2021-01-15 03:00:00,NEO/BTC,0.00059900,0.00060000,0.00058500,0.00059500,10074.76000000,5.98350065,661
1610676000000,2021-01-15 02:00:00,NEO/BTC,0.00059200,0.00060700,0.00059100,0.00060000,25449.77000000,15.31907462,930
1610672400000,2021-01-15 01:00:00,NEO/BTC,0.00059000,0.00059700,0.00058800,0.00059300,16459.34000000,9.75873514,693
1610668800000,2021-01-15 00:00:00,NEO/BTC,0.00059000,0.00059100,0.00058200,0.00058900,10206.43000000,5.97913477,427
1610665200000,2021-01-14 23:00:00,NEO/BTC,0.00058200,0.00059200,0.00058100,0.00059000,8887.87000000,5.20060860,546
1610661600000,2021-01-14 22:00:00,NEO/BTC,0.00058500,0.00058800,0.00058000,0.00058200,13903.94000000,8.11381389,594
1610658000000,2021-01-14 21:00:00,NEO/BTC,0.00058400,0.00058900,0.00058100,0.00058500,17551.73000000,10.24528828,737
1610654400000,2021-01-14 20:00:00,NEO/BTC,0.00058200,0.00058900,0.00058100,0.00058400,12353.64000000,7.24347072,617
1610650800000,2021-01-14 19:00:00,NEO/BTC,0.00058300,0.00058600,0.00058100,0.00058200,6014.71000000,3.50599950,551
1610647200000,2021-01-14 18:00:00,NEO/BTC,0.00058500,0.00058700,0.00058200,0.00058400,8905.90000000,5.20180411,479
