https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume XRP,Volume BTC,tradecount
1611187200000,2021-01-21 00:00:00,XRP/BTC,0.00000833,0.00000838,0.00000831,0.00000836,679348.00000000,5.66890371,443
1611183600000,2021-01-20 23:00:00,XRP/BTC,0.00000836,0.00000836,0.00000826,0.00000832,3593690.00000000,29.81542782,2750
1611180000000,2021-01-20 22:00:00,XRP/BTC,0.00000844,0.00000844,0.00000832,0.00000835,2307889.00000000,19.33471618,2238
1611176400000,2021-01-20 21:00:00,XRP/BTC,0.00000836,0.00000844,0.00000834,0.00000844,2529899.00000000,21.19154276,2468
1611172800000,2021-01-20 20:00:00,XRP/BTC,0.00000828,0.00000838,0.00000826,0.00000836,2178758.00000000,18.13966249,2148
1611169200000,2021-01-20 19:00:00,XRP/BTC,0.00000825,0.00000832,0.00000824,0.00000828,1991166.00000000,16.48395213,2015
1611165600000,2021-01-20 18:00:00,XRP/BTC,0.00000831,0.00000834,0.00000825,0.00000825,2886725.00000000,23.92471295,2306
1611162000000,2021-01-20 17:00:00,XRP/BTC,0.00000835,0.00000836,0.00000825,0.00000831,2868547.00000000,23.83879024,2272
1611158400000,2021-01-20 16:00:00,XRP/BTC,0.00000833,0.00000843,0.00000829,0.00000835,5785794.00000000,48.49638279,3796
1611154800000,2021-01-20 15:00:00,XRP/BTC,0.00000826,0.00000835,0.00000824,0.00000833,3082531.00000000,25.56542087,2227
1611151200000,2021-01-20 14:00:00,XRP/BTC,0.00000829,0.00000830,0.00000824,0.00000825,3101100.00000000,25.63321358,2071
1611147600000,2021-01-20 13:00:00,XRP/BTC,0.00000832,0.00000836,0.00000828,0.00000829,4351924.00000000,36.16257293,2612
1611144000000,2021-01-20 12:00:00,XRP/BTC,0.00000828,0.00000836,0.00000825,0.00000832,4355820.00000000,36.16845454,2834
1611140400000,2021-01-20 11:00:00,XRP/BTC,0.00000828,0.00000831,0.00000823,0.00000828,5851336.00000000,48.40924451,3182
1611136800000,2021-01-20 10:00:00,XRP/BTC,0.00000825,0.00000831,0.00000820,0.00000829,5363414.00000000,44.32060433,3427
1611133200000,2021-01-20 09:00:00,XRP/BTC,0.00000836,0.00000837,0.00000820,0.00000824,8693911.00000000,71.90391952,4645
1611129600000,2021-01-20 08:00:00,XRP/BTC,0.00000834,0.00000843,0.00000830,0.00000837,6467883.00000000,54.00071011,3686
1611126000000,2021-01-20 07:00:00,XRP/BTC,0.00000820,0.00000874,0.00000818,0.00000834,23738328.00000000,202.60915742,11790
1611122400000,2021-01-20 06:00:00,XRP/BTC,0.00000818,0.00000822,0.00000816,0.00000820,4590798.00000000,37.58653170,2638
1611118800000,2021-01-20 05:00:00,XRP/BTC,0.00000818,0.00000824,0.00000814,0.00000819,3283249.00000000,26.84541841,2317
1611115200000,2021-01-20 04:00:00,XRP/BTC,0.00000815,0.00000819,0.00000811,0.00000818,5364926.00000000,43.71790869,3107
1611111600000,2021-01-20 03:00:00,XRP/BTC,0.00000811,0.00000817,0.00000804,0.00000815,6084422.00000000,49.31794740,3386
1611108000000,2021-01-20 02:00:00,XRP/BTC,0.00000816,0.00000818,0.00000807,0.00000811,5169591.00000000,42.00224823,2815
1611104400000,2021-01-20 01:00:00,XRP/BTC,0.00000819,0.00000824,0.00000811,0.00000816,3185708.00000000,26.03243270,2224
1611100800000,2021-01-20 00:00:00,XRP/BTC,0.00000820,0.00000824,0.00000813,0.00000819,6413226.00000000,52.44847326,3186
1611097200000,2021-01-19 23:00:00,XRP/BTC,0.00000819,0.00000821,0.00000810,0.00000819,4767541.00000000,38.91293899,2767
1611093600000,2021-01-19 22:00:00,XRP/BTC,0.00000832,0.00000832,0.00000817,0.00000819,2601356.00000000,21.41934366,2318
1611090000000,2021-01-19 21:00:00,XRP/BTC,0.00000834,0.00000834,0.00000824,0.00000832,3603401.00000000,29.86186005,2478
1611086400000,2021-01-19 20:00:00,XRP/BTC,0.00000827,0.00000838,0.00000824,0.00000834,5443896.00000000,45.18008852,3063
1611082800000,2021-01-19 19:00:00,XRP/BTC,0.00000814,0.00000829,0.00000812,0.00000826,5647758.00000000,46.45561790,3391
1611079200000,2021-01-19 18:00:00,XRP/BTC,0.00000821,0.00000821,0.00000805,0.00000813,7634471.00000000,61.98237532,3992
1611075600000,2021-01-19 17:00:00,XRP/BTC,0.00000817,0.00000821,0.00000813,0.00000821,2477144.00000000,20.22696661,2022
1611072000000,2021-01-19 16:00:00,XRP/BTC,0.00000826,0.00000826,0.00000812,0.00000817,4849296.00000000,39.62912340,3057
1611068400000,2021-01-19 15:00:00,XRP/BTC,0.00000819,0.00000828,0.00000816,0.00000826,5254875.00000000,43.18498545,2950
1611064800000,2021-01-19 14:00:00,XRP/BTC,0.00000828,0.00000829,0.00000816,0.00000819,5258326.00000000,43.13249194,3190
1611061200000,2021-01-19 13:00:00,XRP/BTC,0.00000827,0.00000838,0.00000825,0.00000829,6687039.00000000,55.46743379,3249
1611057600000,2021-01-19 12:00:00,XRP/BTC,0.00000810,0.00000839,0.00000807,0.00000827,12799793.00000000,105.66555575,5785
1611054000000,2021-01-19 11:00:00,XRP/BTC,0.00000812,0.00000818,0.00000807,0.00000811,7607102.00000000,61.83850430,3857
1611050400000,2021-01-19 10:00:00,XRP/BTC,0.00000823,0.00000826,0.00000803,0.00000812,9698092.00000000,78.89958995,4575
1611046800000,2021-01-19 09:00:00,XRP/BTC,0.00000826,0.00000831,0.00000819,0.00000823,9141139.00000000,75.47817363,4013
1611043200000,2021-01-19 08:00:00,XRP/BTC,0.00000824,0.00000838,0.00000814,0.00000827,13142597.00000000,108.39232139,5878
1611039600000,2021-01-19 07:00:00,XRP/BTC,0.00000848,0.00000855,0.00000812,0.00000824,19483610.00000000,162.90223988,7349
1611036000000,2021-01-19 06:00:00,XRP/BTC,0.00000886,0.00000906,0.00000835,0.00000848,51690234.00000000,448.97996605,18347
1611032400000,2021-01-19 05:00:00,XRP/BTC,0.00000800,0.00000888,0.00000798,0.00000886,37092411.00000000,310.94794633,13590
1611028800000,2021-01-19 04:00:00,XRP/BTC,0.00000798,0.00000802,0.00000791,0.00000800,17732150.00000000,141.63201339,3902
1611025200000,2021-01-19 03:00:00,XRP/BTC,0.00000784,0.00000804,0.00000782,0.00000799,12217432.00000000,97.06474630,4249
1611021600000,2021-01-19 02:00:00,XRP/BTC,0.00000784,0.00000790,0.00000783,0.00000784,4048775.00000000,31.80141935,2063
