https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume XRP,Volume USDT,tradecount
1611187200000,2021-01-21 00:00:00,XRP/USDT,0.29553000,0.29718000,0.29484000,0.29514000,3246972.30000000,961283.98628600,1438
1611183600000,2021-01-20 23:00:00,XRP/USDT,0.29207000,0.29790000,0.29021000,0.29539000,19475480.40000000,5728670.82716300,9341
1611180000000,2021-01-20 22:00:00,XRP/USDT,0.29440000,0.29462000,0.29152000,0.29206000,14205889.70000000,4159363.61658500,6455
1611176400000,2021-01-20 21:00:00,XRP/USDT,0.29221000,0.29450000,0.28903000,0.29440000,14904598.80000000,4342023.09847500,8005
1611172800000,2021-01-20 20:00:00,XRP/USDT,0.29115000,0.29348000,0.29001000,0.29221000,14941955.60000000,4358010.56445500,7780
1611169200000,2021-01-20 19:00:00,XRP/USDT,0.29063000,0.29244000,0.28931000,0.29117000,16313198.90000000,4745117.64755400,7840
1611165600000,2021-01-20 18:00:00,XRP/USDT,0.28981000,0.29100000,0.28832000,0.29072000,13519814.50000000,3917118.54729700,6428
1611162000000,2021-01-20 17:00:00,XRP/USDT,0.28959000,0.29108000,0.28653000,0.28980000,17560610.90000000,5071760.37448500,8221
1611158400000,2021-01-20 16:00:00,XRP/USDT,0.28471000,0.29018000,0.28033000,0.28959000,46252364.60000000,13211180.12423100,20591
1611154800000,2021-01-20 15:00:00,XRP/USDT,0.28780000,0.28987000,0.28410000,0.28467000,30649268.50000000,8796853.15457800,11526
1611151200000,2021-01-20 14:00:00,XRP/USDT,0.28968000,0.29073000,0.28737000,0.28783000,23589592.90000000,6820841.26896000,10433
1611147600000,2021-01-20 13:00:00,XRP/USDT,0.28879000,0.29090000,0.28461000,0.28968000,32374588.50000000,9315325.19233500,14227
1611144000000,2021-01-20 12:00:00,XRP/USDT,0.28482000,0.28908000,0.28135000,0.28879000,37178830.20000000,10657626.93212500,17276
1611140400000,2021-01-20 11:00:00,XRP/USDT,0.28759000,0.28906000,0.28000000,0.28480000,47974864.60000000,13638133.52679900,23132
1611136800000,2021-01-20 10:00:00,XRP/USDT,0.28709000,0.28974000,0.28200000,0.28760000,54387877.10000000,15588881.39951100,23479
1611133200000,2021-01-20 09:00:00,XRP/USDT,0.29650000,0.29732000,0.28339000,0.28709000,61404746.40000000,17763065.93299200,27824
1611129600000,2021-01-20 08:00:00,XRP/USDT,0.29745000,0.30068000,0.29483000,0.29657000,39581544.40000000,11774031.81804200,16686
1611126000000,2021-01-20 07:00:00,XRP/USDT,0.28889000,0.31184000,0.28838000,0.29746000,126022659.30000000,38263053.18240100,52575
1611122400000,2021-01-20 06:00:00,XRP/USDT,0.29035000,0.29185000,0.28800000,0.28894000,23836961.60000000,6915978.02773800,10217
1611118800000,2021-01-20 05:00:00,XRP/USDT,0.28817000,0.29087000,0.28724000,0.29035000,21210469.60000000,6130823.39763300,9955
1611115200000,2021-01-20 04:00:00,XRP/USDT,0.28558000,0.28921000,0.28245000,0.28817000,38879989.20000000,11137587.45754000,15906
1611111600000,2021-01-20 03:00:00,XRP/USDT,0.29254000,0.29383000,0.28263000,0.28555000,50920985.70000000,14617149.68713900,21313
1611108000000,2021-01-20 02:00:00,XRP/USDT,0.29492000,0.29509000,0.28873000,0.29260000,42374835.70000000,12353573.55539900,16700
1611104400000,2021-01-20 01:00:00,XRP/USDT,0.29765000,0.29940000,0.29216000,0.29495000,29312339.80000000,8670820.74029900,11724
